Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	translate	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-jpfhir.jp.core.json	140472	-	0	0	0	0	0	0	39	123	0	0	0	0	0	0	0	3	0	0	80	771	562	0	0	0	33	0	4
fsh-generated/resources/AllergyIntolerance-jp-allergyintolerance-example-1.json	1189	5	1	0	0	1	0	0	0	62	0	0	0	0	0	0	0	0	0	0	9	17	24	0	0	0	0	0	0
fsh-generated/resources/CapabilityStatement-jp-client-capabilitystatement.json	131175	23	0	0	0	0	0	0	12	175	0	0	0	0	0	0	0	1	0	0	17	512	124	0	3	0	13	0	0
fsh-generated/resources/CapabilityStatement-jp-server-capabilitystatement.json	131166	17	0	0	0	0	0	0	13	83	0	0	0	0	0	0	0	1	0	0	11	482	126	0	4	0	12	0	1
fsh-generated/resources/CodeSystem-jp-condition-disease-code-icd10-cs.json	568	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	14	1238	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-jp-condition-disease-code-medis-exchange-cs.json	724	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	12	60	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-jp-condition-disease-code-medis-record-no-cs.json	728	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	12	53	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-jp-condition-disease-code-receipt-cs.json	656	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	23	49	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-jp-condition-disease-modifier-medis-exchange-cs.json	791	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	12	48	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-jp-condition-disease-modifier-medis-record-no-cs.json	796	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	8	48	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-jp-condition-disease-modifier-receipt-cs.json	571	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	10	43	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-jp-condition-disease-outcome-hl70241-cs.json	1014	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	9	48	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-jp-condition-disease-outcome-jhsd0006-cs.json	933	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	9	46	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-jp-condition-disease-outcome-receipt-cs.json	862	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	13	44	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-jp-documentcodes-cs.json	11901	3	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	5	36	89	0	0	0	1	0	1
fsh-generated/resources/CodeSystem-jp-endoscopyterminology-codes-jed-cs.json	182404	36	2	0	0	0	0	0	24	0	0	0	2	0	0	0	0	3	0	0	53	292	847	0	0	0	16	0	0
fsh-generated/resources/CodeSystem-jp-medication-example-dosagecomment-cs.json	1107	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	9	36	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-jp-medication-example-line-cs.json	1977	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	10	35	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-jp-medication-example-linecomment-cs.json	942	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	8	37	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-jp-medication-example-methodcomment-cs.json	968	4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	9	38	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-jp-medication-example-ratecomment-cs.json	1188	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	9	32	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-jp-medication-example-routecomment-cs.json	875	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	8	27	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-jp-medication-example-sitecomment-cs.json	824	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	9	28	0	0	0	0	0	0
