Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	translate	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-jpfhir.jp.core.json	135249	-	0	0	0	0	0	0	38	79	0	0	0	0	0	0	0	3	0	0	71	417	374	0	0	0	31	0	3
fsh-generated/resources/AllergyIntolerance-jp-allergyintolerance-example-1.json	1189	5	0	0	1	0	0	0	1	53	0	0	0	0	0	0	0	0	0	0	7	14	29	0	0	0	0	0	0
fsh-generated/resources/CapabilityStatement-jp-client-capabilitystatement.json	128084	23	0	0	0	0	1	0	7	79	0	0	0	0	0	0	0	1	0	0	12	245	69	0	2	0	15	0	1
fsh-generated/resources/CapabilityStatement-jp-server-capabilitystatement.json	128075	14	0	0	0	0	0	0	7	63	0	0	0	0	0	0	0	0	0	0	11	274	98	0	4	0	14	0	1
fsh-generated/resources/CodeSystem-jp-condition-disease-outcome-hl70241-cs.json	1014	2	0	0	0	0	0	0	0	7	0	0	1	0	0	0	0	0	1	0	6	15	427	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-jp-condition-disease-outcome-receipt-cs.json	862	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	6	15	48	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-jp-dental-bodysite-cs.json	9802	3	0	0	1	0	0	0	1	10	0	0	0	0	0	0	0	0	0	0	9	42	100	0	0	0	8	0	0
fsh-generated/resources/CodeSystem-jp-dental-bodysitestatus-cs.json	839	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	5	13	33	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-jp-dental-fundamentalstatus-cs.json	930	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	5	13	29	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-jp-dental-missingteeth-observation-cs.json	13968	3	0	0	0	0	0	0	1	9	0	0	0	0	0	0	0	0	0	0	10	54	70	0	0	0	7	0	0
fsh-generated/resources/CodeSystem-jp-dental-presentteeth-observation-cs.json	31699	5	0	0	0	0	0	0	3	30	0	0	0	0	0	0	0	1	0	0	15	106	115	0	0	0	16	0	0
fsh-generated/resources/CodeSystem-jp-dental-rootbodystructure-cs.json	1424	3	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	6	16	30	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-jp-dental-simple-missingteeth-observation-cs.json	3387	2	0	0	1	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	7	15	34	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-jp-dental-simple-presentteeth-observation-cs.json	3119	2	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	6	21	34	0	0	0	2	0	0
fsh-generated/resources/CodeSystem-jp-dental-surfacebodystructure-cs.json	1421	3	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	6	11	23	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-jp-observation-bodymeasurement-code-cs.json	11534	3	0	0	0	0	0	0	1	13	0	0	0	0	0	0	0	0	0	0	9	36	55	0	0	0	3	0	0
fsh-generated/resources/CodeSystem-jp-observation-dental-category-cs.json	1119	2	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	5	10	25	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-jp-observation-electrocardiogram-duration-cs.json	1266	3	0	0	0	0	0	0	1	6	0	0	0	0	0	0	0	0	0	0	5	10	22	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-jp-observation-electrocardiogram-extracategory-cs.json	1829	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	5	14	26	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-jp-observation-electrocardiogram-stresstype-cs.json	1928	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	4	16	27	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-jp-undefined-cs.json	525	2	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	4	13	20	0	0	0	0	0	0
fsh-generated/resources/Condition-jp-condition-diagnosis-example-1.json	3180	3	0	0	1	0	0	0	0	268	0	0	0	0	0	0	0	0	0	0	5	15	12	0	0	0	0	0	0
fsh-generated/resources/Condition-jp-condition-example-1.json	1398	2	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	2	11	16	0	0	0	0	0	0
fsh-generated/resources/Coverage-jp-coverage-example-1.json	1991	3	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	5	11	34	0	0	0	0	0	0
fsh-generated/resources/DiagnosticReport-jp-diagnosticreport-dentaloral-example-1.json	40991	3	0	0	0	0	0	0	1	11	0	0	0	0	0	0	0	0	0	0	2	54	38	0	0	0	0	0	0
fsh-generated/resources/DiagnosticReport-jp-diagnosticreport-dentaloral-example-2.json	40979	2	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	3	54	42	0	0	0	0	0	0
fsh-generated/resources/DiagnosticReport-jp-diagnosticreport-endoscopy-example-1.json	43398	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	3	55	16	0	0	0	0	0	0
fsh-generated/resources/DiagnosticReport-jp-diagnosticreport-endoscopy-example-2.json	44482	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	3	56	18	0	0	0	0	0	0
fsh-generated/resources/DiagnosticReport-jp-diagnosticreport-labresult-example-1.json	7261	3	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	3	25	28	0	0	0	0	0	0
fsh-generated/resources/DiagnosticReport-jp-diagnosticreport-microbiology-example-1.json	151588	9	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	6	155	100	0	0	0	0	0	1
fsh-generated/resources/DiagnosticReport-jp-diagnosticreport-radiology-example-1.json	184753	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	210	38	0	0	0	0	0	0
fsh-generated/resources/Encounter-jp-encounter-example-1.json	810	5	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	4	8	14	0	0	0	0	0	0
fsh-generated/resources/Endpoint-endpoint-dicom-wadors-example.json	603	4	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	3	7	9	0	0	0	0	0	0
fsh-generated/resources/FamilyMemberHistory-jp-familymemberhistory-example-1.json	833	5	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	4	7	12	0	0	0	0	0	0
fsh-generated/resources/ImagingStudy-jp-imagingstudy-endoscopy-example-1.json	2801	5	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	4	13	17	0	0	0	0	0	0
fsh-generated/resources/ImagingStudy-jp-imagingstudy-radiology-example-1.json	1322	5	0	0	1	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	4	9	10	0	0	0	0	0	0
fsh-generated/resources/Immunization-jp-immunization-example-1.json	2082	3	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	4	10	16	0	0	0	0	0	0
fsh-generated/resources/Location-jp-location-example-examinationroom.json	776	3	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	3	8	9	0	0	0	0	0	0
fsh-generated/resources/Location-jp-location-example-ope.json	1095	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	4	11	6	0	0	0	0	0	0
fsh-generated/resources/Location-jp-location-example-ward.json	795	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	3	8	7	0	0	0	0	0	0
fsh-generated/resources/Media-jp-media-endoscopy-example-1.json	1005	5	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	3	12	11	0	0	0	0	0	0
fsh-generated/resources/Medication-jp-medication-example-1.json	1607	5	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	3	9	10	0	0	0	0	0	0
fsh-generated/resources/Medication-jp-medication-example-2.json	1653	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	2	8	7	0	0	0	0	0	0
fsh-generated/resources/MedicationAdministration-jp-medicationadministration-example-1.json	3300	6	0	0	0	0	0	0	0	62	0	0	0	0	0	0	0	0	0	0	2	12	18	0	0	0	0	0	0
fsh-generated/resources/MedicationAdministration-jp-medicationadministration-example-2.json	2060	3	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	4	15	12	0	0	0	0	0	0
fsh-generated/resources/MedicationAdministration-jp-medicationadministration-injection-example-1.json	5861	3	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	4	21	19	0	0	0	0	0	0
fsh-generated/resources/MedicationAdministration-jp-medicationadministration-injection-example-2.json	7257	3	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	4	20	21	0	0	0	0	0	0
fsh-generated/resources/MedicationDispense-jp-medicationdispense-example-1.json	4379	3	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	4	14	21	0	0	0	0	0	0
fsh-generated/resources/MedicationDispense-jp-medicationdispense-injection-example-1.json	5558	2	0	0	1	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	3	16	17	0	0	0	0	0	0
fsh-generated/resources/MedicationRequest-jp-medicationrequest-example-1.json	3748	3	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	3	12	18	0	0	0	0	0	0
fsh-generated/resources/MedicationRequest-jp-medicationrequest-example-2.json	3661	3	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	2	13	12	0	0	0	0	0	0
fsh-generated/resources/MedicationRequest-jp-medicationrequest-injection-example-1.json	5936	2	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	3	16	17	0	0	0	0	0	0
fsh-generated/resources/MedicationRequest-jp-medicationrequest-injection-example-2.json	7891	3	0	0	0	0	0	0	1	6	0	0	0	0	0	0	0	0	0	0	2	19	16	0	0	0	0	0	0
fsh-generated/resources/MedicationStatement-jp-medicationstatement-example-1.json	2879	4	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	2	11	14	0	0	0	0	0	0
fsh-generated/resources/MedicationStatement-jp-medicationstatement-injection-example-1.json	7356	3	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	3	18	14	0	0	0	0	0	0
fsh-generated/resources/NamingSystem-jp-IdSystem-prescriptionDocumentID-namingsystem.json	397	2	11	0	0	0	0	0	0	7	58	0	0	0	0	0	0	0	0	0	2	11	6	0	0	0	1	0	0
fsh-generated/resources/NamingSystem-jp-clins-bundle-identifier.json	375	2	3	0	0	0	0	0	0	4	9	0	0	0	0	0	0	0	0	0	2	9	7	0	0	0	0	0	0
fsh-generated/resources/NamingSystem-jp-core-resourceInstance-identifier.json	420	2	4	0	0	0	0	0	1	3	9	0	0	0	0	0	0	0	0	0	3	9	6	0	0	0	0	0	0
fsh-generated/resources/NamingSystem-jp-department-ssmix-namingsystem.json	589	2	3	0	0	0	0	0	0	3	12	0	0	0	0	0	0	0	0	0	2	9	7	0	0	0	1	0	0
fsh-generated/resources/NamingSystem-jp-endoscopyterminology-codes-jed-ns.json	673	3	2	0	0	0	0	0	0	4	10	0	0	0	0	0	0	0	0	0	3	10	6	0	0	0	0	0	0
fsh-generated/resources/NamingSystem-jp-example-local-identifiersystem.json	1908	2	3	0	1	0	0	0	0	4	19	0	0	0	0	0	0	0	0	0	2	12	8	0	0	0	0	0	0
fsh-generated/resources/NamingSystem-jp-insurance-memberID-identifier.json	406	2	5	0	0	0	0	0	0	3	10	0	0	0	0	0	0	0	0	0	3	9	6	0	0	0	1	0	0
fsh-generated/resources/NamingSystem-jp-insured-person-number-namingsystem.json	631	2	2	0	0	0	0	0	0	3	11	0	0	0	0	0	0	0	0	0	3	9	6	0	0	0	0	0	0
fsh-generated/resources/NamingSystem-jp-insured-person-symbol-namingsystem.json	633	2	3	0	0	0	0	0	0	4	10	0	0	0	0	0	0	0	0	0	3	9	7	0	0	0	0	0	0
fsh-generated/resources/NamingSystem-jp-insuredpersoncategory-namingsystem.json	615	2	2	0	0	0	0	0	1	3	9	0	0	0	0	0	0	0	0	0	2	10	6	0	0	0	0	0	0
fsh-generated/resources/NamingSystem-jp-insurer-identifier.json	369	3	2	0	0	0	0	0	0	3	9	0	0	0	0	0	0	0	0	0	3	9	6	0	0	0	1	0	0
fsh-generated/resources/NamingSystem-jp-insurer-number-namingsystem.json	572	2	3	0	0	0	0	0	0	3	10	0	0	0	0	0	0	0	0	0	3	9	7	0	0	0	0	0	0
fsh-generated/resources/NamingSystem-jp-local-identifier-11311234567.json	403	2	2	0	0	0	0	0	0	3	8	0	0	0	0	0	0	0	0	0	3	10	6	0	0	0	0	0	0
fsh-generated/resources/NamingSystem-jp-local-patient-identifier-root.json	369	3	3	0	0	0	0	0	0	4	8	0	0	0	0	0	0	0	0	0	2	10	7	0	0	0	0	0	0
fsh-generated/resources/NamingSystem-jp-medical-institution-identifier.json	421	2	5	0	0	0	0	0	0	3	8	0	0	0	0	0	0	0	0	0	3	9	8	0	0	0	1	0	0
fsh-generated/resources/NamingSystem-jp-medical-organizationid-namingsystem.json	627	2	2	0	0	0	0	0	0	3	8	0	0	0	0	0	0	0	0	0	2	9	7	0	0	0	0	0	0
fsh-generated/resources/NamingSystem-jp-medical-registration-number-namingsystem.json	626	2	3	0	1	0	0	0	0	3	8	0	0	0	0	0	0	0	0	0	3	10	6	0	0	0	0	0	0
fsh-generated/resources/NamingSystem-jp-medicalfeescoretype-namingsystem.json	598	2	2	0	0	0	0	0	0	4	8	0	0	0	0	0	0	0	0	0	2	10	7	0	0	0	0	0	0
fsh-generated/resources/NamingSystem-jp-medication-rpgroup-number-namingsystem.json	609	2	2	0	0	0	0	0	0	3	9	0	0	0	0	0	0	0	0	0	3	9	6	0	0	0	1	0	0
fsh-generated/resources/NamingSystem-jp-medication-rpgruop-index-namingsystem.json	632	2	3	0	0	0	0	0	0	3	8	0	0	0	0	0	0	0	0	0	2	15	7	0	0	0	0	0	0
fsh-generated/resources/NamingSystem-jp-medicationbodysitejamiexternal-namingsystem.json	665	3	2	0	0	0	0	0	0	3	10	0	0	0	0	0	0	0	0	0	4	11	7	0	0	0	0	0	0
fsh-generated/resources/NamingSystem-jp-medicationcodecommon-namingsystem.json	615	2	2	0	0	0	0	0	0	4	9	0	0	0	0	0	0	0	0	0	4	9	6	0	0	0	1	0	0
fsh-generated/resources/NamingSystem-jp-medicationcodeyj-namingsystem.json	612	2	3	0	0	0	0	0	1	4	8	0	0	0	0	0	0	0	0	0	3	9	7	0	0	0	0	0	0
fsh-generated/resources/NamingSystem-jp-medicationingredientstrengthstrengthtype-namingsystem.json	665	2	2	0	0	0	0	0	0	3	8	0	0	0	0	0	0	0	0	0	3	10	6	0	0	0	0	0	0
