Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	translate	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-jpfhir.jp.core.json	151897	-	0	0	0	0	0	0	21	198	0	0	0	0	0	0	0	4	0	0	81	742	594	0	0	0	34	0	5
fsh-generated/resources/AllergyIntolerance-jp-allergyintolerance-example-1.json	1189	4	1	0	0	0	0	0	0	56	0	0	0	0	0	0	0	0	0	0	9	15	24	0	0	0	0	0	0
fsh-generated/resources/CapabilityStatement-jp-client-capabilitystatement.json	128084	21	0	0	1	0	0	0	5	175	0	0	0	0	0	0	0	0	0	0	33	453	104	0	1	0	13	0	1
fsh-generated/resources/CapabilityStatement-jp-server-capabilitystatement.json	128075	21	0	0	0	0	0	0	7	89	0	0	0	0	0	0	0	0	0	0	33	440	150	0	1	0	13	0	2
fsh-generated/resources/CodeSystem-jp-bodysite-cs.json	419	5	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	8	9	1535	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-jp-condition-disease-code-receipt-cs.json	2200829	339	22	0	0	0	0	0	270	4	0	0	23	0	0	0	0	36	0	0	521	3191	13578	0	0	0	200	0	16
fsh-generated/resources/CodeSystem-jp-condition-disease-modifier-receipt-cs.json	155210	18	1	0	0	0	0	0	50	1	0	0	1	0	0	0	0	3	0	0	32	227	360	0	0	0	18	0	1
fsh-generated/resources/CodeSystem-jp-condition-disease-outcome-hl70241-cs.json	1014	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	9	34	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-jp-condition-disease-outcome-jhsd0006-cs.json	932	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	9	29	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-jp-condition-disease-outcome-receipt-cs.json	862	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	9	30	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-jp-dental-bodysite-cs.json	10322	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	26	39	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-jp-dental-bodysitestatus-cs.json	1392	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	12	30	0	0	1	0	0	1
fsh-generated/resources/CodeSystem-jp-dental-bodystructure-cs.json	2308	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	12	29	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-jp-dental-fundamentalstatus-cs.json	930	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	9	29	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-jp-dental-missingteeth-observation-cs.json	13968	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	27	34	0	0	0	0	0	0
