Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	translate	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-jpfhir.jp.core.json	133333	-	0	0	0	0	0	0	23	93	0	0	0	0	0	0	0	2	0	0	60	723	510	0	0	0	37	0	4
fsh-generated/resources/AllergyIntolerance-jp-allergyintolerance-example-1.json	1189	4	1	0	0	0	0	0	0	56	0	0	0	0	0	0	0	0	0	0	7	11	15	0	0	0	0	0	0
fsh-generated/resources/CapabilityStatement-jp-client-capabilitystatement.json	105892	15	0	0	0	0	0	0	5	128	0	0	0	0	0	0	0	1	0	0	13	388	59	0	1	0	10	0	0
fsh-generated/resources/CapabilityStatement-jp-server-capabilitystatement.json	105883	12	0	0	0	0	0	0	4	57	0	0	0	0	0	0	0	1	0	0	13	364	67	0	1	0	12	0	1
fsh-generated/resources/CodeSystem-jp-condition-disease-code-icd10-cs.json	568	3	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	6	9	1479	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-jp-condition-disease-code-medis-exchange-cs.json	724	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	8	64	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-jp-condition-disease-code-medis-record-no-cs.json	728	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	8	53	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-jp-condition-disease-code-receipt-cs.json	656	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	7	43	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-jp-condition-disease-modifier-medis-exchange-cs.json	791	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	8	41	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-jp-condition-disease-modifier-medis-record-no-cs.json	796	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	8	42	0	0	0	0	0	0
