Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	translate	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-hl7.fhir.jp.core.json	109017	-	0	0	0	0	0	0	33	11624	0	0	0	0	0	0	0	7	0	0	0	1577	1696	0	0	0	38	0	5
fsh-generated/resources/ValueSet-jp-medication-example-line-vs.json	778	5	0	0	1	3	0	0	0	109	0	0	0	0	0	0	0	0	0	0	0	10	16291	0	1	0	1	0	0
fsh-generated/resources/Organization-jp-organization-example-hospital.json	1275	23	0	0	0	0	0	0	0	126	0	0	0	0	0	0	0	0	0	0	0	12	32	0	0	0	0	1	0
fsh-generated/resources/PractitionerRole-jp-practitionerrole-example-1.json	1846	7	0	0	0	0	0	0	0	62	0	0	0	0	0	0	0	0	0	0	0	17	33	0	0	0	0	0	0
fsh-generated/resources/Practitioner-jp-practitioner-example-male-2.json	791	5	1	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	9	21	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-jp-medication-example-uncategorized-comment-cs.json	1472	5	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	9	130	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-jp-microbiology-category-cs.json	1144	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	136	0	0	0	0	0	0
fsh-generated/resources/ValueSet-jp-reason-codes-jed-vs.json	6065	18	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	28	190	0	0	0	16	0	0
fsh-generated/resources/CodeSystem-jp-microbiology-infectious-agent-cs.json	42373	173	0	0	0	0	0	0	6	1	0	0	0	1	0	0	0	0	0	0	0	227	610	0	0	0	3	0	1
fsh-generated/resources/StructureDefinition-jp-diagnosticreport-labresult.json	18826	1124	0	0	0	0	0	8116	1	3934	0	0	1	0	0	0	0	1	0	0	0	406	6942	0	0	0	16	0	1
fsh-generated/resources/Medication-jp-medication-example-1.json	1471	12	1	0	0	0	0	0	0	262	0	0	0	0	0	0	0	0	1	0	0	14	81	0	0	0	0	0	0
fsh-generated/resources/NamingSystem-jp-observation-vitalsignscode-namingsystem.json	603	3	0	0	0	0	39	0	0	23	1276	0	0	0	0	0	0	0	0	0	0	12	64	0	0	0	1	0	0
