Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	translate	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-jpfhir.jp.core.json	149195	-	0	0	0	0	0	0	29	95	0	0	0	0	0	0	0	4	0	0	54	818	507	0	0	0	30	0	4
fsh-generated/resources/AllergyIntolerance-jp-allergyintolerance-example-1.json	1189	4	0	0	0	0	0	0	0	59	0	0	0	0	0	0	0	0	0	0	5	16	15	0	0	0	0	0	0
fsh-generated/resources/CapabilityStatement-jp-client-capabilitystatement.json	131175	21	0	0	0	0	0	0	7	138	0	0	0	0	0	0	0	1	0	0	11	506	120	0	3	0	13	0	1
fsh-generated/resources/CapabilityStatement-jp-server-capabilitystatement.json	131166	15	1	0	0	0	0	0	7	54	0	0	0	0	0	0	0	0	0	0	10	444	119	0	4	0	11	0	1
fsh-generated/resources/CodeSystem-jp-condition-disease-code-medis-exchange-cs.json	724	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	9	1505	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-jp-condition-disease-code-medis-record-no-cs.json	728	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	9	55	0	0	1	0	0	0
fsh-generated/resources/CodeSystem-jp-condition-disease-code-receipt-cs.json	656	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	8	49	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-jp-condition-disease-modifier-medis-exchange-cs.json	791	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	8	50	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-jp-condition-disease-modifier-medis-record-no-cs.json	796	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	9	48	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-jp-condition-disease-modifier-receipt-cs.json	571	4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	8	43	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-jp-condition-disease-outcome-hl70241-cs.json	1014	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	9	43	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-jp-condition-disease-outcome-jhsd0006-cs.json	932	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	8	41	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-jp-condition-disease-outcome-receipt-cs.json	862	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	9	45	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-jp-dental-bodysite-cs.json	10322	5	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	5	24	79	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-jp-dental-bodysitestatus-cs.json	1392	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	10	42	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-jp-dental-bodystructure-cs.json	2308	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	11	40	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-jp-dental-fundamentalstatus-cs.json	930	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	9	35	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-jp-dental-missingteeth-observation-cs.json	13968	5	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	6	26	72	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-jp-dental-presentteeth-observation-cs.json	31699	8	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	9	48	124	0	0	0	2	0	0
fsh-generated/resources/CodeSystem-jp-dental-simple-missingteeth-observation-cs.json	3387	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	11	42	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-jp-dental-simple-presentteeth-observation-cs.json	3119	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	13	39	0	0	0	0	0	0
