Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-hl7.fhir.jp.core.json	119504	-	0	0	0	0	0	0	29	809	0	0	0	0	0	0	0	4	0	0	1151	563	0	0	0	23	0	14
fsh-generated/resources/Specimen-jp-specimen-example-3.json	989	10	0	0	0	0	0	0	0	78	0	0	0	0	0	0	0	0	0	0	14	18	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-jp-coverage-insuredpersonsubnumber.json	1794	9	0	0	0	0	0	40	0	87	0	0	1	0	0	1	0	0	0	0	67	3192	0	0	0	2	0	1
fsh-generated/resources/ValueSet-jp-medication-example-routecomment-vs.json	825	3	1	0	0	0	0	0	0	79	0	0	0	0	0	0	0	1	0	0	8	7885	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-jp-observation-physicalexam-method-cs.json	3988	23	0	0	0	0	0	0	1	44	0	0	0	0	0	0	0	0	0	0	36	91	0	0	0	1	0	0
fsh-generated/resources/SearchParameter-jp-organization-insuranceorganizationno-sp.json	1293	4	5	0	1	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	11	27	0	0	0	0	0	0
fsh-generated/resources/NamingSystem-jp-medicationusagejami-namingsystem.json	574	3	0	0	0	0	35	0	0	20	1545	0	0	0	0	0	0	0	0	0	10	21	0	0	0	1	0	0
fsh-generated/resources/ValueSet-jp-condition-severity-vs.json	577	3	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	7	6290	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-jp-medication.json	13600	26	1	0	0	0	0	305	0	1261	0	0	1	0	0	0	0	1	0	0	309	2522	0	0	0	15	0	0
fsh-generated/resources/ValueSet-jp-medication-form-merit9-vs.json	634	3	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	9	6491	0	0	0	1	0	0
fsh-generated/resources/DiagnosticReport-jp-diagnosticreport-radiology-example-1.json	184001	17	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	451	99	0	0	0	0	0	0
fsh-generated/resources/SearchParameter-jp-coverage-insuredpersonsymbol-sp.json	1246	4	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	1	0	0	10	26	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-jp-medication-example-routecomment-cs.json	875	4	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	8	56	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-jp-medicationratio-doseperday.json	2004	7	1	0	0	0	0	220	0	94	0	0	0	0	0	0	0	0	0	0	136	610	0	0	0	3	0	1
fsh-generated/resources/CodeSystem-jp-observation-method-cs.json	503	3	1	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	9	39	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-jp-medicationdispensebase.json	34920	47	0	0	0	0	0	1366	0	351	0	0	0	0	0	0	0	1	0	0	623	3183	0	1	0	17	0	0
