Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	translate	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-jpfhir.jp.core.json	144105	-	0	0	0	0	0	0	50	106	0	0	0	0	0	0	0	3	0	0	68	473	423	0	0	0	19	0	3
fsh-generated/resources/AllergyIntolerance-jp-allergyintolerance-example-1.json	1189	5	0	0	0	0	0	0	0	57	0	0	0	0	0	0	0	0	0	0	7	19	18	0	0	0	0	0	0
fsh-generated/resources/CapabilityStatement-jp-client-capabilitystatement.json	131148	20	0	0	0	0	1	0	13	143	0	0	0	0	0	0	0	1	0	0	13	261	79	0	3	0	9	0	1
fsh-generated/resources/CapabilityStatement-jp-server-capabilitystatement.json	131139	20	0	0	0	0	0	0	12	107	0	0	0	0	0	0	0	1	0	0	13	262	98	0	4	0	9	0	0
fsh-generated/resources/CodeSystem-jp-condition-disease-outcome-hl70241-cs.json	1015	6	0	0	1	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	7	19	716	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-jp-condition-disease-outcome-receipt-cs.json	863	7	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	7	16	66	0	0	0	1	0	1
fsh-generated/resources/CodeSystem-jp-dental-bodysite-cs.json	9787	8	0	0	0	0	0	0	2	20	0	0	0	0	0	0	0	0	0	0	12	46	169	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-jp-dental-bodysitestatus-cs.json	824	6	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	7	16	40	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-jp-dental-fundamentalstatus-cs.json	915	6	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	7	17	37	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-jp-dental-missingteeth-observation-cs.json	13953	9	0	0	0	0	0	0	2	16	0	0	1	0	0	0	0	0	0	0	12	59	127	0	0	0	3	0	0
