Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	translate	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-jpfhir.jp.core.json	137030	-	0	0	0	0	0	0	23	106	0	0	0	0	0	0	0	2	0	0	85	385	476	0	0	0	27	0	4
fsh-generated/resources/AllergyIntolerance-jp-allergyintolerance-example-1.json	1189	4	0	0	1	0	0	0	0	77	0	0	0	0	0	0	0	0	0	0	7	11	15	0	0	0	0	0	0
fsh-generated/resources/CapabilityStatement-jp-client-capabilitystatement.json	128084	23	0	0	0	0	0	0	10	131	0	0	0	0	0	0	0	1	0	0	13	213	88	0	3	0	9	0	1
fsh-generated/resources/CapabilityStatement-jp-server-capabilitystatement.json	128075	17	0	0	0	0	0	0	9	96	0	0	0	0	0	0	0	1	0	0	13	207	143	0	4	0	12	0	1
fsh-generated/resources/CodeSystem-jp-condition-disease-outcome-hl70241-cs.json	1014	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	6	9	1682	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-jp-condition-disease-outcome-jhsd0006-cs.json	932	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	7	88	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-jp-condition-disease-outcome-receipt-cs.json	862	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	9	72	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-jp-dental-bodysite-cs.json	10322	4	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	10	19	142	0	0	0	3	0	0
fsh-generated/resources/CodeSystem-jp-dental-bodysitestatus-cs.json	1392	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	9	42	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-jp-dental-bodystructure-cs.json	2308	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	6	10	81	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-jp-dental-fundamentalstatus-cs.json	930	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	9	49	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-jp-dental-missingteeth-observation-cs.json	13968	4	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	9	17	111	0	0	0	3	0	0
fsh-generated/resources/CodeSystem-jp-dental-presentteeth-observation-cs.json	31699	7	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	17	28	137	0	0	0	5	0	0
fsh-generated/resources/CodeSystem-jp-dental-simple-missingteeth-observation-cs.json	3387	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	8	10	39	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-jp-dental-simple-presentteeth-observation-cs.json	3119	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	10	38	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-jp-observation-bodymeasurement-code-cs.json	11534	5	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	10	17	70	0	0	0	2	0	0
fsh-generated/resources/CodeSystem-jp-observation-dental-category-cs.json	1035	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	8	33	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-jp-observation-electrocardiogram-duration-cs.json	1266	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	6	9	38	0	0	0	0	1	0
fsh-generated/resources/CodeSystem-jp-observation-electrocardiogram-extracategory-cs.json	1829	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	10	48	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-jp-observation-electrocardiogram-stresstype-cs.json	1928	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	9	52	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-jp-undefined-cs.json	525	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	8	34	0	0	0	0	0	0
fsh-generated/resources/Condition-jp-condition-diagnosis-example-1.json	3180	2	0	0	0	0	0	0	0	347	0	0	0	0	0	0	0	0	0	0	5	11	19	0	0	0	0	0	0
fsh-generated/resources/Condition-jp-condition-example-1.json	1398	3	1	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	6	9	15	0	0	0	0	0	0
fsh-generated/resources/Coverage-jp-coverage-example-1.json	1991	2	0	0	0	0	0	0	1	10	0	0	0	0	0	0	0	0	0	0	10	14	22	0	0	0	0	0	0
fsh-generated/resources/DiagnosticReport-jp-diagnosticreport-dentaloral-example-1.json	41642	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	54	59	0	0	0	0	0	0
fsh-generated/resources/DiagnosticReport-jp-diagnosticreport-endoscopy-example-1.json	43398	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	6	59	45	0	0	0	0	0	0
fsh-generated/resources/DiagnosticReport-jp-diagnosticreport-endoscopy-example-2.json	44482	4	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	5	61	36	0	0	0	0	0	0
fsh-generated/resources/DiagnosticReport-jp-diagnosticreport-labresult-example-1.json	7261	3	0	0	1	0	0	0	1	26	0	0	0	0	0	0	0	0	0	0	5	33	45	0	0	0	0	0	0
fsh-generated/resources/DiagnosticReport-jp-diagnosticreport-microbiology-example-1.json	151588	13	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	8	167	192	0	0	0	0	0	0
fsh-generated/resources/DiagnosticReport-jp-diagnosticreport-radiology-example-1.json	184753	7	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	5	211	64	0	0	0	0	0	0
fsh-generated/resources/Encounter-jp-encounter-example-1.json	810	3	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	5	8	23	0	0	0	0	0	0
fsh-generated/resources/Endpoint-endpoint-dicom-wadors-example.json	603	2	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	6	7	15	0	0	0	0	0	0
fsh-generated/resources/FamilyMemberHistory-jp-familymemberhistory-example-1.json	833	2	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	4	8	18	0	0	0	0	0	0
fsh-generated/resources/ImagingStudy-jp-imagingstudy-endoscopy-example-1.json	2801	3	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	5	12	24	0	0	0	0	0	0
fsh-generated/resources/ImagingStudy-jp-imagingstudy-radiology-example-1.json	1322	2	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	4	9	14	0	0	0	0	0	0
fsh-generated/resources/Immunization-jp-immunization-example-1.json	2069	3	0	0	2	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	4	10	23	0	0	0	0	0	0
fsh-generated/resources/Location-jp-location-example-examinationroom.json	776	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	4	7	15	0	0	0	0	0	0
fsh-generated/resources/Location-jp-location-example-ope.json	1095	2	0	0	1	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	3	8	12	0	0	0	0	0	0
fsh-generated/resources/Location-jp-location-example-ward.json	795	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	8	10	0	0	0	0	0	0
fsh-generated/resources/Media-jp-media-endoscopy-example-1.json	1005	2	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	3	8	15	0	0	0	0	0	0
fsh-generated/resources/Medication-jp-medication-example-1.json	1607	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	2	8	20	0	0	0	0	0	0
fsh-generated/resources/Medication-jp-medication-example-2.json	1638	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	9	22	0	0	0	0	0	0
fsh-generated/resources/MedicationAdministration-jp-medicationadministration-example-1.json	3300	3	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	3	15	55	0	0	0	0	0	1
fsh-generated/resources/MedicationAdministration-jp-medicationadministration-example-2.json	2058	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	3	11	17	0	0	0	0	0	0
fsh-generated/resources/MedicationAdministration-jp-medicationadministration-injection-example-1.json	5861	3	0	0	0	0	0	0	1	15	0	0	0	0	0	0	0	0	0	0	3	18	24	0	0	0	0	0	0
fsh-generated/resources/MedicationAdministration-jp-medicationadministration-injection-example-2.json	7242	4	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	3	19	28	0	0	0	0	0	0
fsh-generated/resources/MedicationDispense-jp-medicationdispense-example-1.json	4379	3	0	0	1	0	0	0	1	16	0	0	0	0	0	0	0	0	0	0	3	14	28	0	0	0	0	0	0
fsh-generated/resources/MedicationDispense-jp-medicationdispense-injection-example-1.json	5558	3	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	4	15	22	0	0	0	0	0	0
fsh-generated/resources/MedicationRequest-jp-medicationrequest-example-1.json	3855	3	0	0	0	0	0	0	1	13	0	0	0	0	0	0	0	0	0	0	3	12	23	0	0	0	0	0	0
fsh-generated/resources/MedicationRequest-jp-medicationrequest-example-2.json	3659	3	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	3	12	15	0	0	0	0	0	0
fsh-generated/resources/MedicationRequest-jp-medicationrequest-injection-example-1.json	6043	3	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	3	16	22	0	0	0	0	0	0
fsh-generated/resources/MedicationRequest-jp-medicationrequest-injection-example-2.json	7876	4	0	0	0	0	0	0	1	6	0	0	0	0	0	0	0	0	0	0	3	18	22	0	0	0	0	0	0
fsh-generated/resources/MedicationStatement-jp-medicationstatement-example-1.json	2879	3	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	3	11	20	0	0	0	0	0	0
fsh-generated/resources/MedicationStatement-jp-medicationstatement-injection-example-1.json	7341	3	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	3	17	21	0	0	0	0	0	0
fsh-generated/resources/NamingSystem-jp-department-ssmix-namingsystem.json	589	2	7	0	1	0	0	0	1	8	58	0	0	0	0	0	0	0	0	0	2	10	13	0	0	0	0	0	0
fsh-generated/resources/NamingSystem-jp-endoscopyterminology-codes-jed-ns.json	673	3	2	0	0	0	0	0	0	7	11	0	0	0	0	0	0	0	0	0	3	9	11	0	0	0	0	0	0
fsh-generated/resources/NamingSystem-jp-insured-person-number-namingsystem.json	631	2	2	0	0	0	0	0	0	6	10	0	0	0	0	0	0	0	0	0	2	9	12	0	0	0	1	0	0
fsh-generated/resources/NamingSystem-jp-insured-person-symbol-namingsystem.json	633	2	1	0	0	0	0	0	0	6	11	0	0	0	0	0	0	0	0	0	3	10	10	0	0	0	0	0	0
fsh-generated/resources/NamingSystem-jp-insuredpersoncategory-namingsystem.json	615	2	2	0	0	0	0	0	0	6	10	0	0	0	0	0	0	0	0	0	2	10	13	0	0	0	0	0	0
fsh-generated/resources/NamingSystem-jp-insurer-number-namingsystem.json	572	3	2	0	0	0	0	0	0	6	9	0	0	0	0	0	0	0	0	0	3	10	10	0	0	0	0	0	0
fsh-generated/resources/NamingSystem-jp-medical-organizationid-namingsystem.json	627	2	2	0	1	0	0	0	0	6	73	0	0	0	0	0	0	0	0	0	3	11	11	0	0	0	0	0	0
fsh-generated/resources/NamingSystem-jp-medical-registration-number-namingsystem.json	626	2	2	0	0	0	0	0	1	6	9	0	0	0	0	0	0	0	0	0	2	11	11	0	0	0	1	0	0
fsh-generated/resources/NamingSystem-jp-medicalfeescoretype-namingsystem.json	598	2	2	0	0	0	0	0	0	6	9	0	0	0	0	0	0	0	0	0	3	11	15	0	0	0	0	0	0
fsh-generated/resources/NamingSystem-jp-medication-rpgroup-number-namingsystem.json	609	2	1	0	0	0	0	0	0	6	9	0	0	0	0	0	0	0	0	0	3	11	10	0	0	0	0	0	0
fsh-generated/resources/NamingSystem-jp-medication-rpgruop-index-namingsystem.json	632	3	2	0	0	0	0	0	0	6	8	0	0	0	0	0	0	0	0	0	2	11	10	0	0	0	0	0	0
fsh-generated/resources/NamingSystem-jp-medicationbodysitejamiexternal-namingsystem.json	665	2	1	0	0	0	0	0	0	7	10	0	0	0	0	0	0	0	0	0	3	12	10	0	0	0	0	0	0
fsh-generated/resources/NamingSystem-jp-medicationcodecommon-namingsystem.json	615	2	2	0	0	0	0	0	0	5	9	0	0	0	0	0	0	0	0	0	3	11	10	0	0	0	0	0	0
fsh-generated/resources/NamingSystem-jp-medicationcodeyj-namingsystem.json	612	2	2	0	0	0	0	0	0	6	7	0	0	0	0	0	0	0	0	0	2	11	12	0	0	0	1	0	0
fsh-generated/resources/NamingSystem-jp-medicationingredientstrengthstrengthtype-namingsystem.json	665	3	2	0	1	0	0	0	0	7	7	0	0	0	0	0	0	0	0	0	3	12	10	0	0	0	0	0	0
fsh-generated/resources/NamingSystem-jp-medicationmethodjamibasicusage-namingsystem.json	661	2	2	0	0	0	0	0	1	6	7	0	0	0	0	0	0	0	0	0	3	11	10	0	0	0	0	0	0
fsh-generated/resources/NamingSystem-jp-medicationmethodjamidetailusage-namingsystem.json	743	2	2	0	0	0	0	0	0	6	7	0	0	0	0	0	0	0	0	0	3	11	10	0	0	0	0	0	0
fsh-generated/resources/NamingSystem-jp-medicationroute-hl7-0162-namingsystem.json	761	2	1	0	0	0	0	0	0	6	10	0	0	0	0	0	0	0	0	0	3	11	51	0	0	0	0	0	0
fsh-generated/resources/NamingSystem-jp-medicationsubstitutionnotallowedreason-namingsystem.json	690	1	2	0	0	0	0	0	0	7	7	0	0	0	0	0	0	0	0	0	3	11	10	0	0	0	1	0	0
fsh-generated/resources/NamingSystem-jp-medicationunitmerit9-namingsystem.json	612	2	1	0	0	0	0	0	0	6	7	0	0	0	0	0	0	0	0	0	2	11	10	0	0	0	0	0	0
fsh-generated/resources/NamingSystem-jp-medicationusagejami-namingsystem.json	608	1	2	0	0	0	0	0	0	6	7	0	0	0	0	0	0	0	0	0	3	11	10	0	0	0	0	0	0
fsh-generated/resources/NamingSystem-jp-medicationusagejamiadditional-namingsystem.json	657	1	1	0	0	0	0	0	0	6	8	0	0	0	0	0	0	0	0	0	2	10	9	0	0	0	1	0	0
fsh-generated/resources/NamingSystem-jp-medis-master-disease-excode-namingsystem.json	634	1	2	0	0	0	0	0	0	6	7	0	0	0	0	0	0	0	0	0	3	11	11	0	0	0	0	0	0
fsh-generated/resources/NamingSystem-jp-medis-master-disease-keynumber-namingsystem.json	653	2	1	0	0	0	0	0	0	6	7	0	0	0	0	0	0	0	0	0	2	11	9	0	0	0	0	0	0
fsh-generated/resources/NamingSystem-jp-medis-master-disease-modExCode-namingsystem.json	649	1	2	0	0	0	0	0	1	6	7	0	0	0	0	0	0	0	0	0	2	11	13	0	0	0	1	0	0
fsh-generated/resources/NamingSystem-jp-medis-master-disease-modkeynumber-namingsystem.json	655	1	1	0	1	0	0	0	0	6	7	0	0	0	0	0	0	0	0	0	3	11	19	0	0	0	0	0	0
fsh-generated/resources/NamingSystem-jp-medis-master-nursingobservationkeycode-namingsystem.json	703	2	2	0	0	0	0	0	0	5	6	0	0	0	0	0	0	0	0	0	3	11	20	0	0	0	0	0	0
fsh-generated/resources/NamingSystem-jp-medis-medicationcodehot13-namingsystem.json	623	3	1	0	0	0	0	0	0	6	6	0	0	0	0	0	0	0	0	0	2	11	10	0	0	0	1	0	0
fsh-generated/resources/NamingSystem-jp-medis-medicationcodehot7-namingsystem.json	619	2	3	0	0	0	0	0	0	7	7	0	0	0	0	0	0	0	0	0	3	11	9	0	0	0	0	0	0
fsh-generated/resources/NamingSystem-jp-medis-medicationcodehot9-namingsystem.json	770	2	2	0	0	0	0	0	0	6	8	0	0	0	0	0	0	0	0	0	3	11	10	0	0	0	0	0	0
fsh-generated/resources/NamingSystem-jp-medis-observation-jlac10-namingsystem.json	635	2	2	0	0	0	0	0	0	6	7	0	0	0	0	0	0	0	0	0	2	11	10	0	0	0	1	0	0
