Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	translate	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-jpfhir.jp.core.json	125595	-	0	0	0	0	0	0	23	127	0	0	0	0	0	0	0	5	0	0	105	802	459	0	0	0	23	0	4
fsh-generated/resources/AllergyIntolerance-jp-allergyintolerance-example-1.json	1189	5	0	0	0	1	0	0	0	65	0	0	0	0	0	0	0	0	0	0	8	18	16	0	0	0	0	0	0
fsh-generated/resources/CapabilityStatement-jp-client-capabilitystatement.json	42039	12	0	0	0	0	0	0	2	103	0	0	0	0	0	0	0	0	0	0	19	283	56	0	1	0	6	0	1
fsh-generated/resources/CapabilityStatement-jp-server-capabilitystatement.json	42030	10	1	0	0	0	0	0	2	52	0	0	0	0	0	0	0	1	0	0	19	255	55	0	3	0	4	0	0
fsh-generated/resources/CodeSystem-jp-documentcodes-cs.json	11901	4	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	15	35	1329	0	0	0	4	0	0
fsh-generated/resources/CodeSystem-jp-endoscopyterminology-codes-jed-cs.json	182256	24	2	0	0	0	0	0	24	1	0	0	2	0	0	0	0	2	0	0	95	318	1078	0	0	0	14	0	1
fsh-generated/resources/CodeSystem-jp-medication-example-dosagecomment-cs.json	1107	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	15	43	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-jp-medication-example-line-cs.json	1977	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	5	15	52	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-jp-medication-example-linecomment-cs.json	942	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	13	38	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-jp-medication-example-methodcomment-cs.json	968	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	14	43	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-jp-medication-example-ratecomment-cs.json	1188	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	14	37	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-jp-medication-example-routecomment-cs.json	875	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	13	33	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-jp-medication-example-sitecomment-cs.json	824	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	15	27	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-jp-medication-example-uncategorized-comment-cs.json	1472	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	14	32	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-jp-microbiology-anti-microbial-drug-cs.json	35776	5	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	1	0	0	14	59	80	0	0	0	2	0	0
fsh-generated/resources/CodeSystem-jp-microbiology-category-cs.json	1144	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	4	11	27	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-jp-microbiology-infectious-agent-cs.json	42373	7	1	0	0	0	0	0	7	1	0	0	0	0	0	0	0	0	0	0	14	81	107	0	0	0	3	0	1
