Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-hl7.fhir.jp.core.json	114682	-	0	0	0	0	0	0	24	535	0	0	0	0	0	0	0	3	0	0	830	556	0	0	0	66	0	3
fsh-generated/resources/StructureDefinition-jp-coverage-insuredpersonsubnumber.json	1794	9	1	0	0	1	0	28	0	60	0	0	1	0	0	0	0	0	0	0	63	2102	0	1	0	2	0	1
fsh-generated/resources/ValueSet-jp-medication-example-routecomment-vs.json	825	2	0	0	0	0	0	0	0	151	0	0	0	0	0	0	0	0	0	0	11	8976	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-jp-observation-physicalexam-method-cs.json	3988	16	0	0	0	0	0	0	1	40	0	0	0	0	0	0	0	0	0	0	31	157	0	0	0	16	0	0
fsh-generated/resources/SearchParameter-jp-organization-insuranceorganizationno-sp.json	1293	4	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	10	42	0	0	0	0	0	0
fsh-generated/resources/NamingSystem-jp-medicationusagejami-namingsystem.json	574	3	1	0	0	0	23	0	0	13	1700	0	0	0	0	0	0	0	0	0	9	46	0	0	0	1	0	0
fsh-generated/resources/ValueSet-jp-condition-severity-vs.json	577	2	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	6	1319	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-jp-medication.json	13600	21	0	0	0	0	0	292	0	583	0	0	0	0	0	0	0	1	0	0	270	1471	0	0	0	16	0	0
fsh-generated/resources/ValueSet-jp-medication-form-merit9-vs.json	634	3	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	6	1253	0	0	0	0	0	0
fsh-generated/resources/DiagnosticReport-jp-diagnosticreport-radiology-example-1.json	1599	5	0	0	0	0	0	0	0	1295	0	0	0	0	0	0	0	0	0	0	9	20	0	0	0	0	0	0
fsh-generated/resources/SearchParameter-jp-coverage-insuredpersonsymbol-sp.json	1246	4	1	0	0	0	0	0	1	10	0	0	0	0	0	0	0	0	0	0	8	16	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-jp-medication-example-routecomment-cs.json	875	2	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	8	37	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-jp-medicationratio-doseperday.json	2004	6	0	0	0	0	0	158	0	81	0	0	0	0	0	0	0	0	0	0	122	606	0	0	0	3	0	0
fsh-generated/resources/CodeSystem-jp-observation-method-cs.json	503	3	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	7	56	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-jp-medicationdispensebase.json	34920	38	0	0	0	0	0	1086	0	291	0	0	0	0	0	0	0	2	0	0	636	2719	0	0	0	33	0	1
fsh-generated/resources/CodeSystem-jp-observation-bodysite-cs.json	733	2	1	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	7	85	0	0	0	8	0	0
fsh-generated/resources/MedicationAdministration-jp-medicationadministration-injection-example-2.json	7027	16	0	0	0	0	0	0	1	7891	0	0	0	0	0	0	0	0	0	0	38	56	0	0	0	0	0	0
fsh-generated/resources/PractitionerRole-jp-practitionerrole-example-1.json	1846	5	0	0	0	0	0	0	0	1505	0	0	0	0	0	0	0	0	0	0	12	14	0	0	0	0	0	0
