Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	translate	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-jpfhir.jp.core.json	125540	-	0	0	0	0	0	0	24	173	0	0	0	0	0	0	0	2	0	0	47	740	400	0	0	0	26	0	5
fsh-generated/resources/AllergyIntolerance-jp-allergyintolerance-example-1.json	1189	7	0	0	0	0	0	0	0	52	0	0	0	0	0	0	0	0	0	0	5	12	17	0	0	0	0	0	0
fsh-generated/resources/CapabilityStatement-jp-client-capabilitystatement.json	42039	12	0	0	1	0	0	0	2	102	0	0	0	0	0	0	0	1	0	0	8	231	59	0	1	0	9	0	1
fsh-generated/resources/CapabilityStatement-jp-server-capabilitystatement.json	42030	9	0	0	0	0	0	0	2	42	0	0	0	0	0	0	0	1	0	0	7	226	57	0	2	0	5	0	0
fsh-generated/resources/CodeSystem-jp-documentcodes-cs.json	11901	7	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	6	26	1448	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-jp-endoscopyterminology-codes-jed-cs.json	182256	46	2	0	0	0	0	1	18	1	0	0	2	0	0	0	0	4	0	0	46	280	732	0	0	0	24	0	1
fsh-generated/resources/CodeSystem-jp-medication-example-dosagecomment-cs.json	1107	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	11	44	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-jp-medication-example-line-cs.json	1977	4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	12	46	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-jp-medication-example-linecomment-cs.json	942	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	11	41	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-jp-medication-example-methodcomment-cs.json	968	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	9	40	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-jp-medication-example-ratecomment-cs.json	1188	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	11	37	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-jp-medication-example-routecomment-cs.json	875	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	9	39	0	0	0	0	0	0
