Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	translate	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-jpfhir.jp.core.json	131199	-	0	0	0	0	0	0	22	154	0	0	0	0	0	0	0	2	0	0	63	822	422	0	0	0	20	0	4
fsh-generated/resources/AllergyIntolerance-jp-allergyintolerance-example-1.json	1189	10	1	0	0	1	0	0	0	61	0	0	0	0	0	0	0	0	0	0	10	67	34	0	0	0	0	0	0
fsh-generated/resources/CapabilityStatement-jp-client-capabilitystatement.json	105088	24	0	0	0	0	0	0	5	148	0	0	0	0	0	0	0	2	0	0	16	446	98	0	2	0	8	0	1
fsh-generated/resources/CapabilityStatement-jp-server-capabilitystatement.json	105079	28	0	0	0	0	0	0	5	137	0	0	0	0	0	0	0	0	0	0	21	450	102	0	2	0	8	0	1
fsh-generated/resources/CodeSystem-jp-condition-disease-code-icd10-cs.json	568	15	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	10	67	1744	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-jp-condition-disease-code-medis-exchange-cs.json	724	10	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	66	101	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-jp-condition-disease-code-medis-record-no-cs.json	728	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	60	95	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-jp-condition-disease-code-receipt-cs.json	656	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	59	91	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-jp-condition-disease-modifier-medis-exchange-cs.json	791	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	59	93	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-jp-condition-disease-modifier-medis-record-no-cs.json	796	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	62	96	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-jp-condition-disease-modifier-receipt-cs.json	571	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	61	87	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-jp-condition-disease-outcome-hl70241-cs.json	1014	11	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	8	63	93	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-jp-condition-disease-outcome-jhsd0006-cs.json	933	10	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	64	90	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-jp-condition-disease-outcome-receipt-cs.json	862	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	62	86	0	0	0	0	0	0
