Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-hl7.fhir.jp.core.json	118193	-	0	0	0	0	0	0	25	592	0	0	0	0	0	0	0	6	0	0	922	500	0	0	1	22	0	17
fsh-generated/resources/StructureDefinition-jp-coverage-insuredpersonsubnumber.json	1816	7	1	0	0	1	0	27	1	71	0	0	1	0	0	0	0	0	0	0	52	1845	0	1	0	2	0	0
fsh-generated/resources/ValueSet-jp-medication-example-routecomment-vs.json	847	3	0	0	0	0	0	0	1	90	0	0	0	0	0	0	0	0	0	0	6	8749	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-jp-observation-physicalexam-method-cs.json	4010	13	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	35	89	0	0	0	1	0	0
fsh-generated/resources/SearchParameter-jp-organization-insuranceorganizationno-sp.json	1293	4	1	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	9	23	0	0	0	0	0	0
fsh-generated/resources/NamingSystem-jp-medicationusagejami-namingsystem.json	574	3	0	0	0	0	21	0	0	8	1606	0	0	0	0	0	0	0	0	0	10	23	0	0	0	1	0	0
fsh-generated/resources/ValueSet-jp-condition-severity-vs.json	599	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	6	1140	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-jp-medication.json	13622	18	0	0	0	0	0	228	0	253	0	0	1	0	0	0	0	1	0	0	364	2053	0	0	0	7	0	0
fsh-generated/resources/ValueSet-jp-medication-form-merit9-vs.json	656	2	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	6	1175	0	0	0	1	0	0
fsh-generated/resources/DiagnosticReport-jp-diagnosticreport-radiology-example-1.json	1449	6	0	0	0	0	0	0	0	1212	0	0	0	0	0	0	0	0	0	0	8	41	0	0	0	0	0	0
fsh-generated/resources/SearchParameter-jp-coverage-insuredpersonsymbol-sp.json	1246	3	1	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	9	42	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-jp-medication-example-routecomment-cs.json	897	3	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	8	60	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-jp-medicationratio-doseperday.json	2026	5	0	0	0	0	0	153	0	86	0	0	0	0	0	0	0	0	0	0	121	601	0	0	0	7	0	0
fsh-generated/resources/CodeSystem-jp-observation-method-cs.json	525	2	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	7	32	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-jp-medicationdispensebase.json	34942	31	0	0	0	0	0	1134	0	343	0	0	0	0	0	0	0	1	0	0	552	2686	0	0	0	33	0	1
fsh-generated/resources/CodeSystem-jp-observation-bodysite-cs.json	755	2	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	8	30	0	0	0	0	0	0
fsh-generated/resources/MedicationAdministration-jp-medicationadministration-injection-example-2.json	7027	12	0	0	0	0	0	0	0	5521	0	0	0	0	0	0	0	0	0	0	48	36	0	0	0	0	0	0
fsh-generated/resources/PractitionerRole-jp-practitionerrole-example-1.json	1846	5	1	0	0	0	0	0	0	1151	0	0	0	0	0	0	0	0	0	0	16	13	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-jp-medication-ingredientstrength-strengthtype.json	1916	6	0	0	0	0	0	98	0	35	0	0	0	0	0	0	0	0	0	0	48	320	0	0	0	2	0	0
fsh-generated/resources/NamingSystem-jp-medicalfeescoretype-namingsystem.json	580	2	0	0	0	0	5	0	0	7	9	0	0	0	0	0	0	0	0	0	11	39	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-jp-location.json	23227	19	0	0	0	0	0	166	0	136	0	0	0	0	0	0	0	1	0	0	296	1514	0	0	0	8	0	0
fsh-generated/resources/MedicationAdministration-jp-medicationadministration-injection-example-1.json	5730	10	0	0	0	0	0	0	1	29	0	0	0	0	0	0	0	0	0	0	28	14	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-jp-medication-example-line-cs.json	1999	6	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	15	45	0	0	0	1	0	0
fsh-generated/resources/NamingSystem-jp-medicationmethodjamidetailusage-namingsystem.json	634	3	0	0	0	0	5	0	0	7	9	0	0	0	0	0	0	0	0	0	10	15	0	0	0	0	0	0
fsh-generated/resources/ValueSet-jp-observation-labresult-code-vs.json	734	2	1	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	10	831	0	0	0	0	0	0
fsh-generated/resources/ValueSet-jp-medication-route-hl70162-vs.json	722	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	6	1281	0	0	0	1	0	0
fsh-generated/resources/ValueSet-jp-medicalfeescoretype-vs.json	592	3	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	5	1166	0	0	0	0	0	0
fsh-generated/resources/ValueSet-jp-department-ssmix-vs.json	610	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	5	1328	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-jp-medicationdosage-usageduration.json	3123	8	0	0	0	0	0	59	0	65	0	0	0	0	0	0	0	0	0	0	95	348	0	0	0	2	0	0
fsh-generated/resources/ValueSet-jp-medication-usage-injection-vs.json	840	2	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	8	2263	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-jp-organization.json	21144	19	0	0	0	0	0	211	0	183	0	0	1	0	0	0	0	1	0	0	386	2139	0	0	0	10	0	1
fsh-generated/resources/ValueSet-jp-medication-method-jami-detail-usage-vs.json	693	3	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	7	1145	0	0	0	0	0	0
fsh-generated/resources/ValueSet-jp-observation-bodysite-vs.json	766	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	6	43	0	0	0	0	0	0
fsh-generated/resources/NamingSystem-jp-medicationunitmerit9-namingsystem.json	587	3	1	0	0	0	4	0	0	7	8	0	0	0	0	0	0	0	0	0	9	16	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-jp-medicationdosage-device.json	1687	5	0	0	0	0	0	48	0	40	0	0	0	0	0	0	0	1	0	0	50	170	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-jp-imagingstudy-endoscopy.json	17158	29	0	0	0	0	0	223	0	224	0	0	0	0	0	0	0	1	0	0	381	2147	0	0	0	10	0	1
fsh-generated/resources/StructureDefinition-jp-medicationdosagebase.json	14054	20	0	0	0	0	0	168	0	178	0	0	0	0	0	0	0	0	0	0	310	1511	0	0	0	8	0	0
fsh-generated/resources/NamingSystem-jp-prefecturenumber-namingsystem.json	568	2	0	0	0	0	4	0	0	7	8	0	0	0	0	0	0	0	0	0	10	14	0	0	0	1	0	0
fsh-generated/resources/Location-jp-location-example-examinationroom.json	776	3	0	0	0	0	0	0	0	54	0	0	0	0	0	0	0	0	0	0	7	12	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-jp-humanname.json	9568	9	0	0	0	0	0	43	0	47	0	0	0	0	0	0	0	1	0	0	110	409	0	0	0	3	1	0
fsh-generated/resources/ValueSet-jp-medicationcode-vs.json	880	4	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	7	963	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-jp-medicationtiming.json	10975	14	1	0	0	0	0	90	0	84	0	0	0	0	0	0	0	0	0	0	191	1238	0	0	0	5	0	0
fsh-generated/resources/ValueSet-jp-medication-category-merit9-vs.json	682	3	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	6	1197	0	0	0	0	0	0
fsh-generated/resources/ValueSet-jp-observation-bodymeasurement-code-vs.json	621	2	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	7	118	0	0	0	1	0	0
fsh-generated/resources/ValueSet-jp-undefined-vs.json	612	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	5	75	0	0	0	0	0	0
fsh-generated/resources/ValueSet-jp-medication-code-hot9-vs.json	575	3	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	6	668	0	0	0	0	0	0
fsh-generated/resources/ValueSet-jp-observation-physicalexam-method-vs.json	836	2	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	6	98	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-jp-medication-example-uncategorized-comment-cs.json	1494	4	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	10	84	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-jp-medicationdispense.json	4715	9	0	0	0	0	0	217	0	239	0	0	0	0	0	0	0	1	0	0	387	2391	0	0	0	11	0	1
fsh-generated/resources/MedicationDispense-jp-medicationdispense-example-1.json	4142	9	0	0	0	0	0	0	1	2227	0	0	0	0	0	0	0	0	0	0	21	56	0	0	0	0	0	0
fsh-generated/resources/ValueSet-jp-reason-codes-jed-vs.json	6087	12	1	0	0	0	0	0	0	1503	0	0	0	0	0	0	0	0	0	0	35	104	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-jp-medicationrequest-injection.json	45762	48	0	0	0	0	0	436	2	359	0	0	0	0	0	0	0	2	0	0	842	3166	0	1	0	23	0	1
fsh-generated/resources/Coverage-jp-coverage-example-1.json	1180	4	0	0	0	0	0	0	0	187	0	0	0	0	0	0	0	0	0	0	13	13	0	0	0	0	0	0
fsh-generated/resources/ValueSet-jp-procedure-code-medical-vs.json	677	2	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	6	1969	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-jp-observation-microbiology.json	12518	19	0	0	0	0	0	523	0	386	0	0	0	0	0	0	0	2	0	0	737	3270	0	0	0	43	0	1
fsh-generated/resources/StructureDefinition-jp-patient-race.json	2271	6	0	0	0	0	0	24	0	27	0	0	0	0	0	0	0	0	0	0	60	302	0	0	0	2	0	0
fsh-generated/resources/ValueSet-jp-medication-category-injection-vs.json	1018	3	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	8	1134	0	0	0	0	0	0
