Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-hl7.fhir.jp.core.json	114682	-	0	0	0	0	0	0	21	567	0	0	0	0	0	0	0	3	0	0	761	375	0	0	1	19	0	4
fsh-generated/resources/StructureDefinition-jp-coverage-insuredpersonsubnumber.json	1816	8	1	0	0	0	0	25	0	58	0	0	1	0	0	0	0	0	0	0	45	3184	0	0	0	2	0	0
fsh-generated/resources/ValueSet-jp-medication-example-routecomment-vs.json	847	2	1	0	0	0	0	0	0	83	0	0	0	0	0	0	0	0	0	0	7	8525	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-jp-observation-physicalexam-method-cs.json	4010	14	0	0	0	0	0	0	1	26	0	0	0	0	0	0	0	0	0	0	27	163	0	0	0	1	0	0
fsh-generated/resources/SearchParameter-jp-organization-insuranceorganizationno-sp.json	1293	3	0	0	1	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	8	41	0	0	0	0	0	0
fsh-generated/resources/NamingSystem-jp-medicationusagejami-namingsystem.json	574	3	1	0	0	0	25	0	0	8	1474	0	0	0	0	0	0	0	0	0	8	33	0	0	0	1	0	0
fsh-generated/resources/ValueSet-jp-condition-severity-vs.json	599	2	1	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	6	1278	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-jp-medication.json	13622	17	0	0	0	0	0	196	0	1803	0	0	0	0	0	0	0	1	0	0	312	1864	0	0	0	6	0	0
fsh-generated/resources/ValueSet-jp-medication-form-merit9-vs.json	656	2	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	18	1179	0	0	0	1	0	0
fsh-generated/resources/DiagnosticReport-jp-diagnosticreport-radiology-example-1.json	1636	5	0	0	0	0	0	0	0	2463	0	0	0	0	0	0	0	0	0	0	8	19	0	0	0	0	0	0
fsh-generated/resources/SearchParameter-jp-coverage-insuredpersonsymbol-sp.json	1246	3	1	0	0	0	0	0	1	6	0	0	0	0	0	0	0	0	0	0	8	21	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-jp-medication-example-routecomment-cs.json	897	3	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	6	68	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-jp-medicationratio-doseperday.json	2026	5	1	0	0	0	0	139	0	72	0	0	0	0	0	0	0	0	0	0	105	619	0	0	0	3	0	0
