Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-hl7.fhir.jp.core.json	114682	-	0	0	0	0	0	0	24	475	0	0	0	0	0	0	0	2	0	0	958	379	0	0	0	23	0	12
fsh-generated/resources/StructureDefinition-jp-coverage-insuredpersonsubnumber.json	1794	7	0	0	1	0	0	24	0	64	0	0	0	0	0	0	0	0	0	0	47	1552	0	0	0	2	0	0
fsh-generated/resources/ValueSet-jp-medication-example-routecomment-vs.json	825	2	0	0	0	0	0	0	0	79	0	0	0	0	0	0	0	0	0	0	7	9121	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-jp-observation-physicalexam-method-cs.json	3988	13	1	0	0	0	0	0	0	24	0	0	0	0	0	0	0	1	0	0	29	112	0	0	0	1	0	0
fsh-generated/resources/SearchParameter-jp-organization-insuranceorganizationno-sp.json	1293	2	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	8	25	0	0	0	0	0	0
fsh-generated/resources/NamingSystem-jp-medicationusagejami-namingsystem.json	574	3	0	0	0	0	18	0	1	8	1457	0	0	0	0	0	0	0	0	0	9	22	0	0	0	1	0	0
fsh-generated/resources/ValueSet-jp-condition-severity-vs.json	577	2	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	6	1301	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-jp-medication.json	13600	16	0	0	0	0	0	190	0	583	0	0	1	0	0	0	0	1	0	0	242	1669	0	0	0	6	0	0
fsh-generated/resources/ValueSet-jp-medication-form-merit9-vs.json	634	2	1	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	6	1331	0	0	0	1	0	0
fsh-generated/resources/DiagnosticReport-jp-diagnosticreport-radiology-example-1.json	1599	4	0	0	0	0	0	0	0	1211	0	0	0	0	0	0	0	0	0	0	9	50	0	0	0	0	0	0
fsh-generated/resources/SearchParameter-jp-coverage-insuredpersonsymbol-sp.json	1246	3	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	8	14	0	0	0	0	0	1
fsh-generated/resources/CodeSystem-jp-medication-example-routecomment-cs.json	875	2	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	7	44	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-jp-medicationratio-doseperday.json	2004	5	0	0	0	0	0	142	0	67	0	1	0	0	0	0	0	0	0	0	108	654	0	0	0	3	0	0
fsh-generated/resources/CodeSystem-jp-observation-method-cs.json	503	1	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	7	47	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-jp-medicationdispensebase.json	34920	28	0	0	0	0	0	743	0	360	0	0	0	0	0	0	0	1	1	0	486	2180	0	0	0	14	0	0
fsh-generated/resources/CodeSystem-jp-observation-bodysite-cs.json	733	2	1	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	6	49	0	0	0	0	0	0
fsh-generated/resources/MedicationAdministration-jp-medicationadministration-injection-example-2.json	7027	12	0	0	0	0	0	0	1	6278	0	0	0	0	0	0	0	0	0	0	34	42	0	0	0	0	0	0
fsh-generated/resources/PractitionerRole-jp-practitionerrole-example-1.json	1846	4	0	0	0	0	0	0	0	1150	0	0	0	0	0	0	0	0	0	0	12	13	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-jp-medication-ingredientstrength-strengthtype.json	1894	5	0	0	0	0	0	20	0	23	0	0	0	0	0	0	0	0	0	0	45	199	0	0	0	1	0	0
fsh-generated/resources/NamingSystem-jp-medicalfeescoretype-namingsystem.json	580	2	0	0	0	0	4	0	0	7	11	0	0	0	0	0	0	0	0	0	9	14	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-jp-location.json	23205	17	0	0	0	0	0	118	1	125	0	0	7	0	0	0	0	1	0	0	268	1454	0	0	0	7	0	1
fsh-generated/resources/MedicationAdministration-jp-medicationadministration-injection-example-1.json	5730	10	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	27	38	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-jp-medication-example-line-cs.json	1977	5	1	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	14	69	0	0	0	1	0	0
fsh-generated/resources/NamingSystem-jp-medicationmethodjamidetailusage-namingsystem.json	634	2	0	0	0	0	4	0	0	8	15	0	0	0	0	0	0	0	0	0	9	31	0	0	0	0	0	0
fsh-generated/resources/ValueSet-jp-observation-labresult-code-vs.json	712	2	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	5	1144	0	0	0	0	0	0
fsh-generated/resources/ValueSet-jp-medication-route-hl70162-vs.json	700	1	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	7	1276	0	0	0	0	0	0
fsh-generated/resources/ValueSet-jp-medicalfeescoretype-vs.json	570	2	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	5	1341	0	0	0	1	0	0
fsh-generated/resources/ValueSet-jp-department-ssmix-vs.json	588	2	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	6	1458	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-jp-medicationdosage-usageduration.json	3101	7	0	0	0	0	0	111	0	45	0	0	0	0	0	0	0	0	0	0	87	295	0	0	0	2	0	0
fsh-generated/resources/ValueSet-jp-medication-usage-injection-vs.json	818	2	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	7	2684	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-jp-organization.json	21122	17	0	0	0	0	0	184	0	177	0	0	0	0	0	0	0	1	0	0	339	1641	0	0	0	9	0	0
fsh-generated/resources/ValueSet-jp-medication-method-jami-detail-usage-vs.json	671	2	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	6	1291	0	0	0	1	0	0
fsh-generated/resources/ValueSet-jp-observation-bodysite-vs.json	744	2	1	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	6	39	0	0	0	0	0	1
fsh-generated/resources/NamingSystem-jp-medicationunitmerit9-namingsystem.json	587	2	0	0	0	0	4	0	0	6	11	0	0	0	0	0	0	0	0	0	10	15	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-jp-medicationdosage-device.json	1665	5	0	0	0	0	0	20	0	26	0	0	0	0	0	0	0	0	0	0	43	146	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-jp-imagingstudy-endoscopy.json	17136	27	0	0	0	0	0	196	0	193	0	0	0	0	0	0	0	1	0	0	352	1768	0	0	0	9	1	0
fsh-generated/resources/StructureDefinition-jp-medicationdosagebase.json	14032	18	0	0	0	0	0	149	0	147	0	0	0	0	0	0	0	1	0	0	280	1323	0	0	0	8	0	0
fsh-generated/resources/NamingSystem-jp-prefecturenumber-namingsystem.json	568	2	0	0	0	0	3	0	0	7	18	0	0	0	0	0	0	0	0	0	9	13	0	0	0	0	0	0
fsh-generated/resources/Location-jp-location-example-examinationroom.json	776	2	0	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	7	12	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-jp-humanname.json	9546	8	0	0	0	0	0	44	0	46	0	0	1	0	0	0	0	0	0	0	100	327	0	0	0	3	0	1
fsh-generated/resources/ValueSet-jp-medicationcode-vs.json	858	3	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	7	1275	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-jp-medicationtiming.json	10953	13	1	0	0	0	0	82	0	103	0	0	0	0	0	0	0	1	0	0	175	1045	0	0	0	4	0	0
fsh-generated/resources/ValueSet-jp-medication-category-merit9-vs.json	660	2	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	6	1351	0	0	0	1	0	0
fsh-generated/resources/ValueSet-jp-observation-bodymeasurement-code-vs.json	599	1	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	6	82	0	0	0	0	0	0
fsh-generated/resources/ValueSet-jp-undefined-vs.json	590	2	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	6	85	0	0	0	0	0	0
fsh-generated/resources/ValueSet-jp-medication-code-hot9-vs.json	553	2	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	6	874	0	0	0	0	0	0
fsh-generated/resources/ValueSet-jp-observation-physicalexam-method-vs.json	814	2	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	6	38	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-jp-medication-example-uncategorized-comment-cs.json	1472	3	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	10	45	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-jp-medicationdispense.json	4297	7	0	0	0	0	0	208	0	205	0	0	0	0	0	0	0	1	0	0	407	1752	0	0	0	8	0	0
fsh-generated/resources/MedicationDispense-jp-medicationdispense-example-1.json	4142	8	0	0	0	0	0	0	0	2308	0	0	0	0	0	0	0	0	0	0	19	29	0	0	0	0	0	1
fsh-generated/resources/ValueSet-jp-reason-codes-jed-vs.json	6065	11	1	0	0	0	0	0	1	1886	0	0	0	0	0	0	0	0	0	0	32	96	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-jp-medicationrequest-injection.json	45160	43	0	0	0	0	0	395	0	337	0	0	0	0	0	0	0	1	0	0	682	3048	0	1	0	32	0	0
fsh-generated/resources/Coverage-jp-coverage-example-1.json	1180	3	0	0	0	0	0	0	0	161	0	0	0	0	0	0	0	0	0	0	8	28	0	0	0	0	0	0
fsh-generated/resources/ValueSet-jp-procedure-code-medical-vs.json	655	2	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	6	2493	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-jp-observation-microbiology.json	10212	12	0	0	0	0	0	375	0	244	0	0	0	0	0	0	0	1	0	0	399	1663	0	0	0	12	0	1
fsh-generated/resources/StructureDefinition-jp-patient-race.json	1881	5	0	0	0	0	0	34	0	22	0	0	0	0	0	0	0	0	0	0	44	251	0	0	0	1	0	0
fsh-generated/resources/ValueSet-jp-medication-category-injection-vs.json	996	2	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	1	0	0	7	1365	0	0	0	0	0	0
fsh-generated/resources/ValueSet-jp-medication-usage-jami-additional-vs.json	662	2	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	5	1237	0	0	0	0	0	0
fsh-generated/resources/ValueSet-jp-medication-unit-merit9-vs.json	607	2	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	6	1297	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-jp-medication-example-sitecomment-cs.json	824	1	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	6	26	0	0	0	0	0	0
fsh-generated/resources/ValueSet-jp-procedure-code-stem7-vs.json	655	2	1	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	5	1481	0	0	0	0	0	0
