Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-hl7.fhir.jp.core.json	114682	-	0	0	0	0	0	0	24	520	0	0	0	0	0	0	0	2	0	0	802	482	0	0	1	67	0	3
fsh-generated/resources/StructureDefinition-jp-coverage-insuredpersonsubnumber.json	1794	8	0	0	0	0	0	33	0	140	0	0	1	0	0	0	0	1	0	0	51	2565	0	0	0	2	0	1
fsh-generated/resources/ValueSet-jp-medication-example-routecomment-vs.json	825	2	0	0	0	0	0	0	1	94	0	0	0	0	0	0	0	0	0	0	8	8793	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-jp-observation-physicalexam-method-cs.json	3988	17	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	32	139	0	0	0	0	0	0
fsh-generated/resources/SearchParameter-jp-organization-insuranceorganizationno-sp.json	1293	11	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	9	32	0	0	0	1	0	0
fsh-generated/resources/NamingSystem-jp-medicationusagejami-namingsystem.json	574	7	0	0	0	0	22	0	0	10	1408	0	0	0	0	0	0	0	0	0	10	43	0	0	0	0	0	0
fsh-generated/resources/ValueSet-jp-condition-severity-vs.json	577	2	1	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	6	1162	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-jp-medication.json	13600	18	0	0	0	0	0	307	1	284	0	0	0	1	0	0	0	1	0	0	298	1709	0	0	0	8	0	1
fsh-generated/resources/ValueSet-jp-medication-form-merit9-vs.json	634	2	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	6	1154	0	0	0	0	0	0
fsh-generated/resources/DiagnosticReport-jp-diagnosticreport-radiology-example-1.json	183999	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	395	212	0	0	0	0	0	0
fsh-generated/resources/SearchParameter-jp-coverage-insuredpersonsymbol-sp.json	1246	3	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	9	18	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-jp-medication-example-routecomment-cs.json	875	3	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	7	57	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-jp-medicationratio-doseperday.json	2004	5	0	0	0	0	0	206	0	67	0	0	0	0	0	0	0	0	0	0	113	816	0	0	0	3	0	1
fsh-generated/resources/CodeSystem-jp-observation-method-cs.json	503	3	1	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	7	81	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-jp-medicationdispensebase.json	34920	31	0	0	0	0	0	1119	0	272	0	0	0	0	0	0	0	2	0	0	526	2381	0	0	0	17	0	0
fsh-generated/resources/CodeSystem-jp-observation-bodysite-cs.json	733	2	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	7	32	0	0	0	0	0	0
