Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-hl7.fhir.jp.core.json	114286	-	0	0	0	0	0	0	22	330	0	0	0	0	0	0	0	2	0	0	720	365	0	0	0	42	0	4
fsh-generated/resources/StructureDefinition-jp-coverage-insuredpersonsubnumber.json	1816	6	1	0	0	1	0	24	0	44	0	0	0	0	0	0	0	0	0	0	45	1525	0	0	0	1	0	0
fsh-generated/resources/ValueSet-jp-medication-example-routecomment-vs.json	847	2	0	0	0	0	0	0	0	60	0	0	0	0	0	0	0	0	0	0	6	7851	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-jp-observation-physicalexam-method-cs.json	4010	9	0	0	0	0	0	0	0	16	0	0	1	0	0	0	0	1	0	0	26	103	0	0	0	0	0	0
fsh-generated/resources/SearchParameter-jp-organization-insuranceorganizationno-sp.json	1293	3	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	8	13	0	0	0	1	0	0
fsh-generated/resources/NamingSystem-jp-medicationusagejami-namingsystem.json	574	1	0	0	0	0	18	0	0	6	1481	0	0	0	0	0	0	0	0	0	7	12	0	0	0	0	0	0
fsh-generated/resources/ValueSet-jp-condition-severity-vs.json	599	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	5	1303	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-jp-medication.json	13622	12	1	0	0	0	0	190	0	419	0	0	0	0	0	0	0	1	0	0	237	1629	0	0	0	9	0	0
fsh-generated/resources/ValueSet-jp-medication-form-merit9-vs.json	656	2	0	0	0	0	0	0	0	4	0	0	0	0	1	0	0	0	0	0	6	1249	0	0	0	0	0	0
fsh-generated/resources/DiagnosticReport-jp-diagnosticreport-radiology-example-1.json	1449	3	0	0	0	0	0	0	0	1302	0	0	0	0	0	0	0	0	0	0	6	14	0	0	0	0	0	0
fsh-generated/resources/SearchParameter-jp-coverage-insuredpersonsymbol-sp.json	1246	2	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	7	12	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-jp-medication-example-routecomment-cs.json	897	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	6	46	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-jp-medicationratio-doseperday.json	2026	4	0	0	0	0	0	224	0	60	0	0	0	0	0	0	0	0	0	0	104	604	0	0	0	2	0	0
