FHIRJPCoreImplementationGuide
=========================================

Generic: line 0, col 0, Warning - The IG is not for the international realm, and it uses SNOMED CT, so it should fix the SCT edition in the expansion parameters (BUSINESSRULE)
/home/runner/work/jp-core-v1x/jp-core-v1x/fsh-generated/resources/CodeSystem-jp-family-member-cs.json: line 0, col 0, Error - Conformance resource /home/runner/work/jp-core-v1x/jp-core-v1x/fsh-generated/resources/CodeSystem-jp-family-member-cs.json - the canonical URL (http://jpfhir.jp/fhir/core/CodeSystem/jp-family-member-cs) does not match the URL (http://jpfhir.jp/fhir/core/CodeSystem/JP_FamilyMember_CS) (INVALID)
/home/runner/work/jp-core-v1x/jp-core-v1x/fsh-generated/resources/CodeSystem-jp-family-member-cs.json: line 0, col 0, Error - Resource id/url mismatch: jp-family-member-cs/http://jpfhir.jp/fhir/core/CodeSystem/JP_FamilyMember_CS (INVARIANT)
/home/runner/work/jp-core-v1x/jp-core-v1x/fsh-generated/resources/CodeSystem-jp-family-member-cs.json: line 0, col 0, Warning - CodeSystem http://terminology.ht7.org/Codesystem/v3-ActCodeが見つからないので、conceptが有効かどうかを確認できません (BUSINESSRULE)
/home/runner/work/jp-core-v1x/jp-core-v1x/fsh-generated/resources/CodeSystem-jp-family-member-cs.json: line 1, col 8197, Warning - 公開されたcode systemsはCodeSystem.experimentalの存在を必須としているShareableCodeSystemプロファイルに準拠すべき(SHOULD)ですが、要素が存在しません。 (REQUIRED)
/home/runner/work/jp-core-v1x/jp-core-v1x/fsh-generated/resources/CodeSystem-jp-family-member-cs.json: line 0, col 0, Error - URL Mismatch http://jpfhir.jp/fhir/core/CodeSystem/jp-family-member-cs vs http://jpfhir.jp/fhir/core/CodeSystem/JP_FamilyMember_CS (BUSINESSRULE)
/home/runner/work/jp-core-v1x/jp-core-v1x/fsh-generated/resources/Immunization-jp-immunization-example-1.json: line 24, col 4, Error - http://medis.or.jp/CodeSystem/master-HOT9#111501701 の誤ったdisplay '肺炎球菌ワクチン' - 1 の選択肢のうちの一つであるべきです: 'ニューモバックスＮＰ・ＭＳＤ' (ja) (言語 'ja-JP' のため) (INVALID)
/home/runner/work/jp-core-v1x/jp-core-v1x/fsh-generated/resources/Medication-jp-medication-example-2.json: line 25, col 8, Error - http://medis.or.jp/CodeSystem/master-HOT9#107750603 の誤ったdisplay 'ソリタ－Ｔ３号輸液５００ｍＬ' - 1 の選択肢のうちの一つであるべきです: 'ソリタ－Ｔ３号輸液・陽進堂' (ja) (言語 'ja-JP' のため) (INVALID)
/home/runner/work/jp-core-v1x/jp-core-v1x/fsh-generated/resources/MedicationAdministration-jp-medicationadministration-example-1.json: line 65, col 4, Error - http://medis.or.jp/CodeSystem/master-HOT9#103835401 の誤ったdisplay 'ムコダイン錠２５０ｍｇ' - 1 の選択肢のうちの一つであるべきです: 'ムコダイン錠２５０ｍｇ・杏林製薬' (ja) (言語 'ja-JP' のため) (INVALID)
/home/runner/work/jp-core-v1x/jp-core-v1x/fsh-generated/resources/MedicationAdministration-jp-medicationadministration-example-2.json: line 58, col 4, Error - http://medis.or.jp/CodeSystem/master-HOT9#110926901 の誤ったdisplay 'パンスポリンＴ錠１００ １００ｍｇ' - 1 の選択肢のうちの一つであるべきです: 'パンスポリンＴ錠１００・武田薬品' (ja) (言語 'ja-JP' のため) (INVALID)
/home/runner/work/jp-core-v1x/jp-core-v1x/fsh-generated/resources/MedicationAdministration-jp-medicationadministration-injection-example-2.json: line 109, col 12, Error - http://medis.or.jp/CodeSystem/master-HOT9#107750603 の誤ったdisplay 'ソリタ－Ｔ３号輸液５００ｍＬ' - 1 の選択肢のうちの一つであるべきです: 'ソリタ－Ｔ３号輸液・陽進堂' (ja) (言語 'ja-JP' のため) (INVALID)
/home/runner/work/jp-core-v1x/jp-core-v1x/fsh-generated/resources/MedicationAdministration-jp-medicationadministration-injection-example-2.json: line 230, col 4, Error - 選択肢 http://jpfhir.jp/fhir/core/StructureDefinition/JP_Medication の中からprofile #jp-medicationadministration-injection-medication-example-2 のマッチを見つけることができません (STRUCTURE)
