Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-hl7.fhir.jp.core.json	121050	-	0	0	0	0	0	0	26	718	0	0	0	0	0	0	0	3	0	0	922	584	0	0	1	36	0	9
fsh-generated/resources/StructureDefinition-jp-coverage.json	33633	42	1	0	0	1	0	550	0	349	0	0	1	0	0	0	0	2	0	0	478	5228	0	0	0	13	1	0
fsh-generated/resources/StructureDefinition-jp-medication-ingredient-drugno.json	1771	9	0	0	0	0	0	36	0	31	0	0	0	0	0	1	0	0	0	0	51	260	0	0	0	1	0	0
fsh-generated/resources/ValueSet-jp-allergyintolerance-vs.json	752	4	0	0	0	0	0	0	0	79	0	0	0	0	0	0	0	0	0	0	8	7825	0	0	0	1	0	0
fsh-generated/resources/Condition-jp-condition-example-1.json	1398	7	0	0	0	0	0	0	0	356	0	0	0	0	0	0	0	0	0	0	14	15	0	0	0	0	0	0
fsh-generated/resources/ValueSet-jp-diagnosticreportcategory-vs.json	1744	7	0	0	0	0	0	0	1	97	0	0	0	0	0	0	0	0	0	0	11	155	0	0	0	0	0	0
fsh-generated/resources/CapabilityStatement-jp-server-capabilitystatement.json	42030	105	1	0	0	0	0	0	2	117	0	0	0	0	0	0	0	1	0	0	136	148	0	2	0	3	0	2
fsh-generated/resources/ValueSet-jp-observation-bodymeasurement-code-vs.json	599	4	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	8	78	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-jp-medication-example-dosagecomment-cs.json	1107	5	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	6	78	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-jp-coverage-insuredpersonsymbol.json	1699	8	0	0	0	0	0	37	0	29	0	0	0	0	0	0	0	0	0	0	50	272	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-jp-observation-bodymeasurement-code-cs.json	11059	43	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	41	106	0	0	0	1	0	0
fsh-generated/resources/ValueSet-jp-medication-example-ratecomment-vs.json	820	4	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	7	79	0	0	0	0	0	0
