Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	translate	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-jpfhir.jp.core.json	143736	-	0	0	0	0	0	0	29	90	0	0	0	0	0	0	0	3	0	0	54	372	292	0	0	0	16	0	3
fsh-generated/resources/AllergyIntolerance-jp-allergyintolerance-example-1.json	1189	4	0	0	0	0	0	0	1	52	0	0	0	0	0	0	0	0	0	0	6	13	22	0	0	0	0	0	0
fsh-generated/resources/CapabilityStatement-jp-client-capabilitystatement.json	131148	13	0	0	0	0	1	0	9	102	0	0	0	0	0	0	0	1	0	0	11	282	61	0	2	0	7	0	0
fsh-generated/resources/CapabilityStatement-jp-server-capabilitystatement.json	131142	14	0	0	0	0	0	0	9	75	0	0	0	0	0	0	0	0	0	0	11	179	73	0	0	0	7	0	1
fsh-generated/resources/CodeSystem-jp-condition-disease-outcome-hl70241-cs.json	1015	5	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	7	8	372	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-jp-condition-disease-outcome-receipt-cs.json	863	4	0	0	1	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	6	11	38	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-jp-dental-bodysite-cs.json	9787	5	0	0	0	0	0	0	1	11	0	0	0	0	0	0	0	0	0	0	10	35	72	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-jp-dental-bodysitestatus-cs.json	824	3	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	7	11	28	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-jp-dental-fundamentalstatus-cs.json	915	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	6	11	24	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-jp-dental-missingteeth-observation-cs.json	13953	3	0	0	0	0	0	0	1	11	0	0	0	0	0	0	0	0	0	0	10	79	66	0	0	0	3	0	1
fsh-generated/resources/CodeSystem-jp-dental-presentteeth-observation-cs.json	31684	5	0	0	0	0	0	0	3	23	0	0	0	0	0	0	0	0	0	0	15	90	111	0	0	0	6	0	0
fsh-generated/resources/CodeSystem-jp-dental-rootbodystructure-cs.json	1409	2	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	7	11	30	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-jp-dental-simple-missingteeth-observation-cs.json	3372	2	0	0	1	0	0	0	1	6	0	0	0	0	0	0	0	0	0	0	7	13	29	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-jp-dental-simple-presentteeth-observation-cs.json	3104	2	0	0	0	0	0	0	0	5	0	0	1	0	0	0	0	0	0	0	7	17	28	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-jp-dental-surfacebodystructure-cs.json	1406	3	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	6	12	23	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-jp-medication-substitution-prohibition-reason-cs.json	1588	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	6	12	24	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-jp-observation-bodymeasurement-code-cs.json	11534	3	0	0	0	0	0	0	1	10	0	0	0	0	0	0	0	1	0	0	9	32	75	0	0	0	2	0	0
fsh-generated/resources/CodeSystem-jp-observation-dental-category-cs.json	1104	2	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	6	8	22	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-jp-observation-electrocardiogram-duration-cs.json	1254	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	5	14	22	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-jp-observation-electrocardiogram-extracategory-cs.json	1817	3	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	4	10	26	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-jp-observation-electrocardiogram-stresstype-cs.json	1916	2	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	4	10	25	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-jp-undefined-cs.json	525	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	4	7	20	0	0	0	0	0	0
fsh-generated/resources/Condition-jp-condition-diagnosis-example-1.json	3189	3	0	0	0	0	0	0	1	244	0	0	0	0	0	0	0	0	0	0	4	79	16	0	0	0	0	0	0
fsh-generated/resources/Condition-jp-condition-example-1.json	1398	2	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	3	8	13	0	0	0	0	0	0
fsh-generated/resources/Coverage-jp-coverage-example-1.json	1991	5	0	0	1	0	0	0	0	143	0	0	0	0	0	0	0	0	0	0	6	95	17	0	0	0	0	0	0
fsh-generated/resources/DiagnosticReport-jp-diagnosticreport-dentaloral-example-1.json	40997	5	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	3	46	72	0	0	0	0	0	0
fsh-generated/resources/DiagnosticReport-jp-diagnosticreport-dentaloral-example-2.json	40985	5	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	3	99	25	0	0	0	0	0	0
fsh-generated/resources/DiagnosticReport-jp-diagnosticreport-endoscopy-example-1.json	43419	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	47	19	0	0	0	0	0	0
fsh-generated/resources/DiagnosticReport-jp-diagnosticreport-endoscopy-example-2.json	44503	5	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	4	47	21	0	0	0	0	0	0
fsh-generated/resources/DiagnosticReport-jp-diagnosticreport-labresult-example-1.json	7289	5	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	3	21	30	0	0	0	0	0	0
fsh-generated/resources/DiagnosticReport-jp-diagnosticreport-microbiology-example-1.json	151624	13	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	5	135	102	0	0	0	0	0	0
fsh-generated/resources/DiagnosticReport-jp-diagnosticreport-radiology-example-1.json	184742	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	228	46	0	0	0	0	0	0
fsh-generated/resources/Encounter-jp-encounter-example-1.json	810	5	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	3	8	19	0	0	0	0	0	0
fsh-generated/resources/Endpoint-endpoint-dicom-wadors-example.json	615	4	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	3	7	13	0	0	0	0	0	0
fsh-generated/resources/FamilyMemberHistory-jp-familymemberhistory-example-1.json	833	4	0	0	0	0	0	0	1	23	0	0	0	0	0	0	0	0	0	0	3	7	16	0	0	0	0	0	0
fsh-generated/resources/ImagingStudy-jp-imagingstudy-endoscopy-example-1.json	2801	4	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	4	12	19	0	0	0	0	0	0
fsh-generated/resources/ImagingStudy-jp-imagingstudy-radiology-example-1.json	1322	5	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	3	16	12	0	0	0	0	0	0
fsh-generated/resources/Immunization-jp-immunization-example-1.json	2082	4	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	3	9	20	0	0	0	0	0	0
fsh-generated/resources/Location-jp-location-example-examinationroom.json	776	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	3	7	12	0	0	0	0	0	0
fsh-generated/resources/Location-jp-location-example-ope.json	1095	3	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	3	7	8	0	0	0	0	0	0
fsh-generated/resources/Location-jp-location-example-ward.json	795	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	7	9	0	0	0	0	0	0
fsh-generated/resources/Media-jp-media-endoscopy-example-1.json	1005	3	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	3	8	14	0	0	0	0	0	0
fsh-generated/resources/Medication-jp-medication-example-1.json	1607	3	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	2	7	13	0	0	0	0	0	0
fsh-generated/resources/Medication-jp-medication-example-2.json	1653	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	8	11	0	0	0	0	0	0
fsh-generated/resources/MedicationAdministration-jp-medicationadministration-example-1.json	3300	5	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	3	11	23	0	0	0	0	0	0
fsh-generated/resources/MedicationAdministration-jp-medicationadministration-example-2.json	2060	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	10	14	0	0	0	0	0	0
fsh-generated/resources/MedicationAdministration-jp-medicationadministration-injection-example-1.json	5861	2	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	3	15	19	0	0	0	0	0	0
fsh-generated/resources/MedicationAdministration-jp-medicationadministration-injection-example-2.json	7257	3	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	4	18	25	0	0	0	0	0	1
fsh-generated/resources/MedicationDispense-jp-medicationdispense-example-1.json	4379	3	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	3	87	24	0	0	0	0	0	0
fsh-generated/resources/MedicationDispense-jp-medicationdispense-injection-example-1.json	5558	2	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	4	14	20	0	0	0	0	0	0
fsh-generated/resources/MedicationRequest-jp-medicationrequest-department-example-01.json	2484	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	3	10	18	0	0	0	0	0	0
fsh-generated/resources/MedicationRequest-jp-medicationrequest-department-example-02.json	2425	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	3	17	14	0	0	0	0	0	0
fsh-generated/resources/MedicationRequest-jp-medicationrequest-example-1.json	3748	3	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	3	12	14	0	0	0	0	0	0
fsh-generated/resources/MedicationRequest-jp-medicationrequest-example-2.json	3661	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	3	12	13	0	0	0	0	0	0
fsh-generated/resources/MedicationRequest-jp-medicationrequest-injection-example-1.json	5936	3	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	3	15	16	0	0	0	0	0	0
fsh-generated/resources/MedicationRequest-jp-medicationrequest-injection-example-2.json	7891	3	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	4	16	17	0	0	0	0	0	0
fsh-generated/resources/MedicationStatement-jp-medicationstatement-example-1.json	2879	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	3	14	16	0	0	0	0	0	0
fsh-generated/resources/MedicationStatement-jp-medicationstatement-injection-example-1.json	7356	3	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	3	16	17	0	0	0	0	0	0
fsh-generated/resources/NamingSystem-jp-IdSystem-prescriptionDocumentID-namingsystem.json	397	3	10	0	1	0	0	0	0	7	58	0	0	0	0	0	0	0	0	0	3	8	9	0	0	0	1	0	0
fsh-generated/resources/NamingSystem-jp-clins-bundle-identifier.json	375	2	2	0	0	0	0	0	0	4	8	0	0	0	0	0	0	0	0	0	3	7	9	0	0	0	0	0	0
fsh-generated/resources/NamingSystem-jp-core-resourceInstance-identifier.json	420	2	3	0	0	0	0	0	0	5	6	0	0	0	0	0	0	0	0	0	3	8	8	0	0	0	0	0	0
fsh-generated/resources/NamingSystem-jp-department-ssmix-namingsystem.json	589	2	3	0	0	0	0	0	0	4	9	0	0	0	0	0	0	0	0	0	4	8	8	0	0	0	0	0	0
fsh-generated/resources/NamingSystem-jp-endoscopyterminology-codes-jed-ns.json	673	2	3	0	0	0	0	0	0	5	7	0	0	0	0	0	0	0	0	0	3	45	8	0	0	0	0	0	0
