Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	translate	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-jpfhir.jp.core.json	143517	-	0	0	0	0	0	0	35	101	0	0	0	0	0	0	0	3	0	0	110	438	388	0	0	0	18	0	3
fsh-generated/resources/AllergyIntolerance-jp-allergyintolerance-example-1.json	1189	4	0	0	0	0	0	0	0	63	0	0	0	0	0	0	0	0	0	0	7	13	15	0	0	1	0	0	0
fsh-generated/resources/CapabilityStatement-jp-client-capabilitystatement.json	128084	21	0	0	1	0	0	0	8	138	0	0	0	0	0	0	0	1	0	0	12	275	70	0	2	0	8	0	0
fsh-generated/resources/CapabilityStatement-jp-server-capabilitystatement.json	128075	10	0	0	0	0	0	0	7	57	0	0	0	0	0	0	0	1	0	0	14	413	107	0	3	0	9	0	1
fsh-generated/resources/CodeSystem-jp-condition-disease-outcome-hl70241-cs.json	1014	2	0	0	0	0	0	0	1	7	0	0	0	0	0	0	0	0	0	0	7	26	506	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-jp-condition-disease-outcome-receipt-cs.json	862	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	6	15	60	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-jp-dental-bodysite-cs.json	9787	3	0	0	1	0	0	0	1	10	0	0	0	0	0	0	0	0	0	0	16	53	111	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-jp-dental-bodysitestatus-cs.json	824	3	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	6	13	36	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-jp-dental-fundamentalstatus-cs.json	915	4	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	6	14	31	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-jp-dental-missingteeth-observation-cs.json	13953	5	0	0	0	0	0	0	1	10	0	0	1	0	0	0	0	0	0	0	19	47	97	0	0	0	3	0	0
fsh-generated/resources/CodeSystem-jp-dental-presentteeth-observation-cs.json	31684	5	0	0	1	0	0	0	4	29	0	0	0	0	0	0	0	0	0	0	36	95	141	0	0	0	11	0	1
fsh-generated/resources/CodeSystem-jp-dental-rootbodystructure-cs.json	1409	3	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	6	10	36	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-jp-dental-simple-missingteeth-observation-cs.json	3372	2	0	0	0	0	0	0	1	7	0	0	0	0	0	0	0	0	0	0	7	23	33	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-jp-dental-simple-presentteeth-observation-cs.json	3104	2	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	1	1	0	7	22	36	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-jp-dental-surfacebodystructure-cs.json	1406	2	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	6	15	27	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-jp-observation-bodymeasurement-code-cs.json	11534	3	0	0	1	0	1	0	2	16	0	0	0	0	0	0	0	0	0	0	17	60	68	0	0	0	3	0	0
fsh-generated/resources/CodeSystem-jp-observation-dental-category-cs.json	1104	2	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	5	14	27	0	0	0	1	0	0
