Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	translate	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-jpfhir.jp.core.json	141442	-	0	0	0	0	0	0	50	100	0	0	0	0	0	0	0	4	0	0	59	386	426	0	0	0	19	0	4
fsh-generated/resources/AllergyIntolerance-jp-allergyintolerance-example-1.json	1189	4	0	0	0	0	0	0	0	64	0	0	0	0	0	0	0	0	0	0	5	11	16	0	0	0	0	0	0
fsh-generated/resources/CapabilityStatement-jp-client-capabilitystatement.json	131148	17	0	0	1	0	0	0	16	123	0	0	0	0	0	0	0	0	0	0	8	228	85	0	2	0	8	0	1
fsh-generated/resources/CapabilityStatement-jp-server-capabilitystatement.json	131139	20	0	0	0	0	0	0	13	112	0	0	0	0	0	0	0	1	0	0	9	222	109	0	3	0	8	0	1
fsh-generated/resources/CodeSystem-jp-condition-disease-outcome-hl70241-cs.json	1015	5	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	6	10	720	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-jp-condition-disease-outcome-receipt-cs.json	863	4	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	5	9	56	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-jp-dental-bodysite-cs.json	9787	6	0	0	0	0	0	0	2	15	0	0	0	0	0	0	0	0	0	0	8	36	145	0	0	0	2	0	0
fsh-generated/resources/CodeSystem-jp-dental-bodysitestatus-cs.json	824	4	0	0	1	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	6	9	48	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-jp-dental-fundamentalstatus-cs.json	915	5	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	5	9	44	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-jp-dental-missingteeth-observation-cs.json	13953	6	0	0	0	0	0	0	2	14	0	0	0	0	0	0	0	0	0	0	7	41	142	0	0	0	3	0	0
