Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	translate	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-jpfhir.jp.core.json	141142	-	0	0	0	1	0	0	26	52	0	0	0	0	0	0	0	2	0	0	35	293	332	0	0	0	12	0	2
fsh-generated/resources/AllergyIntolerance-jp-allergyintolerance-example-1.json	1189	3	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	5	14	13	0	0	0	0	0	0
fsh-generated/resources/CapabilityStatement-jp-client-capabilitystatement.json	131148	10	0	0	0	0	0	0	5	120	0	0	0	0	0	0	0	1	0	0	7	206	50	0	1	0	6	0	1
fsh-generated/resources/CapabilityStatement-jp-server-capabilitystatement.json	131139	9	0	0	1	0	0	0	4	59	0	0	0	0	0	0	0	1	0	0	6	382	58	0	0	0	5	0	1
fsh-generated/resources/CodeSystem-jp-condition-disease-outcome-hl70241-cs.json	1015	3	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	4	21	316	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-jp-condition-disease-outcome-receipt-cs.json	863	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	3	7	31	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-jp-dental-bodysite-cs.json	9787	3	0	0	0	0	0	0	1	10	0	0	1	0	0	0	0	0	0	0	4	24	64	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-jp-dental-bodysitestatus-cs.json	824	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	3	7	20	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-jp-dental-fundamentalstatus-cs.json	915	4	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	1	21	18	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-jp-dental-missingteeth-observation-cs.json	13953	5	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	3	30	38	0	0	0	2	0	0
