Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	translate	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-jpfhir.jp.core.json	125348	-	0	0	0	0	0	0	45	1128	0	0	0	0	0	0	0	12	0	0	0	1683	1180	0	0	0	30	0	5
fsh-generated/resources/AllergyIntolerance-jp-allergyintolerance-example-1.json	1189	18	1	0	0	0	0	0	0	628	0	0	0	0	0	0	0	0	0	0	0	27	57	0	0	0	0	0	0
fsh-generated/resources/CapabilityStatement-jp-client-capabilitystatement.json	42039	113	0	0	0	0	0	0	4	162	0	0	0	0	0	0	0	1	0	0	0	206	103	0	1	0	15	0	0
fsh-generated/resources/CapabilityStatement-jp-server-capabilitystatement.json	42030	101	0	0	0	0	0	0	4	162	0	0	0	0	0	0	0	0	0	0	0	165	127	0	2	0	2	0	1
fsh-generated/resources/CodeSystem-jp-documentcodes-cs.json	11901	25	0	0	0	0	0	0	1	1	0	0	2	0	0	0	0	0	0	0	0	70	3774	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-jp-endoscopyterminology-codes-jed-cs.json	182256	709	3	0	0	0	0	0	19	0	0	0	4	0	0	0	0	2	0	0	0	766	1449	0	0	0	14	0	1
fsh-generated/resources/CodeSystem-jp-medication-example-dosagecomment-cs.json	1107	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	35	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-jp-medication-example-line-cs.json	1977	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	51	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-jp-medication-example-linecomment-cs.json	942	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	33	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-jp-medication-example-methodcomment-cs.json	968	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	33	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-jp-medication-example-ratecomment-cs.json	1188	4	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	10	61	0	0	0	0	0	1
fsh-generated/resources/CodeSystem-jp-medication-example-routecomment-cs.json	875	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	65	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-jp-medication-example-sitecomment-cs.json	824	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	35	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-jp-medication-example-uncategorized-comment-cs.json	1472	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	32	0	0	0	1	0	0
