URL,Version,Status,OIDs,Name,Title,Description,Used
http://capstandard.jp/iyaku.info/CodeSystem/YJ-code,2025.5.1,active,,JP_MedicationCodeYJ_CS,JP Core YJ コード（個別医薬品コード）,"YJ コード（個別医薬品コード）","ValueSet/jp-medicationcode-immunization-vs,ValueSet/jp-medicationcode-vs"
http://dicom.nema.org/resources/ontology/DCM,01,active,"1.2.840.10008.2.16.4",DICOM Controlled Terminology Definitions,,"DICOM Code Definitions (Coding Scheme Designator ""DCM"" Coding Scheme Version ""01"")","ValueSet/jp-dicommodality-vs"
http://hl7.org/fhir/event-status,4.0.1,draft,"2.16.840.1.113883.4.642.4.110",EventStatus,EventStatus,"Codes identifying the lifecycle stage of an event.","ValueSet/immunization-status"
http://hl7.org/fhir/specimen-status,4.0.1,draft,"2.16.840.1.113883.4.642.4.472",SpecimenStatus,SpecimenStatus,"Codes providing the status/availability of a specimen.","ValueSet/specimen-status"
http://hl7.org/fhir/uv/imaging-service-request-ig/CodeSystem/dicom-uids,0.1.0,draft,,DICOMUIDs,DICOM® Unique Identifiers,"DICOM® Unique Identifiers extracted from DICOM PS3.6 Table A-1.","ValueSet/dicom-sop-classes-vs"
http://jami.jp/CodeSystem/MedicationBodySiteExternal,1.1.1,active,,JP_MedicationBodySiteJAMIExternal_CS,JP Core Medication JAMI External Body Site CodeSystem,"JAMI標準用法規格表１３外用部位コードのコードシステム","ValueSet/jp-medicationbodysitejamiexternal-vs"
http://jami.jp/CodeSystem/MedicationMethodBasicUsage,1.1.1,active,,JP_MedicationMethodJAMIBasicUsage_CS,JP Core Medication JAMI Basic Usage Type CodeSystem,"JAMI標準用法規格表１基本用法区分のコードシステム","ValueSet/jp-medicationmethodjamibasicusage-vs"
http://jami.jp/CodeSystem/MedicationMethodDetailUsage,1.1.1,active,,JP_MedicationMethodJAMIDetailUsage_CS,JP Core Medication JAMI Detail Usage Type CodeSystem,"JAMI標準用法規格表２用法詳細区分のコードシステム","ValueSet/jp-medicationmethodjamidetailusage-vs"
http://jami.jp/CodeSystem/MedicationUsage,1.1.1,active,,JP_MedicationUsageJAMI_CS,JP Core Medication JAMI Usage 16digits CodeSystem,"JAMI標準用法コードの１６桁コードシステム","ValueSet/jp-medicationusagejami-vs"
http://jami.jp/CodeSystem/MedicationUsageAdditional,1.1.1,active,,JP_MedicationUsageJAMIAdditional_CS,JP Core Medication JAMI Additional Usage CodeSystem,"JAMI標準用法規格補足用法コードの８桁コードシステム","ValueSet/jp-medicationusagejamiadditional-vs"
http://jami.jp/SS-MIX2/CodeSystem/ClinicalDepartment,1.1.1,active,,JP_Department_SsMix_CS,JP Core Department SS-MIX CodeSystem,"SS-MIX統一診療科コード","ValueSet/jp-department-ssmix-vs"
http://jpfhir.jp/fhir/Examples/CodeSystem/JP_MedicationAdministrationDosageComment_CS,1.1.1,active,,JP_MedicationExampleDosageComment_CS,JP Core Medication Example DosageComment CodeSystem,"注射用法コメントのコードシステム例","ValueSet/jp-medication-example-dosagecomment-vs"
http://jpfhir.jp/fhir/Examples/CodeSystem/JP_MedicationAdministrationDosageLineComment_CS,1.1.1,active,,JP_MedicationExampleLineComment_CS,JP Core Medication Example LineComment CodeSystem,"注射ラインコメントのコードシステム例  content=compoleteとしているが部分サンプルである。","ValueSet/jp-medication-example-linecomment-vs"
http://jpfhir.jp/fhir/Examples/CodeSystem/JP_MedicationAdministrationDosageMethodComment_CS,1.1.1,active,,JP_MedicationExampleMethodComment_CS,JP Core Medication Example MethodComment CodeSystem,"注射手技コメントのコードシステム例 content=compoleteとしているが部分サンプルである。","ValueSet/jp-medication-example-methodcomment-vs"
http://jpfhir.jp/fhir/Examples/CodeSystem/JP_MedicationAdministrationDosageRateComment_CS,1.1.1,active,,JP_MedicationExampleRateComment_CS,JP Core Medication Example RateComment CodeSystem,"注射投与速度コメントのコードシステム例  content=compoleteとしているが部分サンプルである。","ValueSet/jp-medication-example-ratecomment-vs"
http://jpfhir.jp/fhir/Examples/CodeSystem/JP_MedicationAdministrationDosageRouteComment_CS,1.1.1,active,,JP_MedicationExampleRouteComment_CS,JP Core Medication Example RouteComment CodeSystem,"注射投与経路コメントのコードシステム例  content=compoleteとしているが部分サンプルである。","ValueSet/jp-medication-example-routecomment-vs"
http://jpfhir.jp/fhir/Examples/CodeSystem/JP_MedicationAdministrationDosageSiteComment_CS,1.1.1,active,,JP_MedicationExampleSiteComment_CS,JP Core Medication Example SiteComment CodeSystem,"注射投与部位コメントのコードシステム例  content=compoleteとしているが部分サンプルである。","ValueSet/jp-medication-example-sitecomment-vs"
http://jpfhir.jp/fhir/Examples/CodeSystem/JP_MedicationAdministrationUncategorizedComment_CS,1.1.1,active,,JP_MedicationExampleUncategorizedComment_CS,JP Core MedicationAdministration Example Uncategorized Comment CodeSystem,"注射実施未分類コメントのコードシステム例  content=compoleteとしているが部分サンプルである。","ValueSet/jp-medication-example-uncategorized-comment-vs"
http://jpfhir.jp/fhir/Examples/CodeSystem/JP_MedicationRequestDosageInstructionLine_CS,1.1.1,active,,JP_MedicationExampleLine_CS,JP Core Medication Example Line CodeSystem,"投与ラインのコードシステム例 content=compoleteとしているが部分サンプルである。","ValueSet/jp-medication-example-line-vs"
