Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-hl7.fhir.jp.core.json	114286	-	0	0	0	0	0	0	22	403	0	0	0	0	0	0	0	9	0	0	713	348	0	0	0	37	0	3
fsh-generated/resources/StructureDefinition-jp-coverage-insuredpersonsubnumber.json	1816	6	1	0	0	1	0	20	0	56	0	0	0	0	0	0	0	0	0	0	49	1158	0	0	0	1	0	0
fsh-generated/resources/ValueSet-jp-medication-example-routecomment-vs.json	847	2	0	0	0	0	0	0	0	71	0	0	0	0	0	0	0	0	1	0	6	7546	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-jp-observation-physicalexam-method-cs.json	4010	11	0	0	0	0	0	0	1	18	0	0	1	0	0	0	0	0	0	0	26	113	0	0	0	0	0	0
fsh-generated/resources/SearchParameter-jp-organization-insuranceorganizationno-sp.json	1293	2	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	8	21	0	0	0	1	0	0
fsh-generated/resources/NamingSystem-jp-medicationusagejami-namingsystem.json	574	2	1	0	0	0	26	0	0	6	1408	0	0	0	0	0	0	0	0	0	7	37	0	0	0	0	0	0
fsh-generated/resources/ValueSet-jp-condition-severity-vs.json	599	2	3	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	5	1206	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-jp-medication.json	13622	14	1	0	0	0	0	138	0	277	0	0	0	0	0	0	0	0	0	0	234	1836	0	0	0	6	0	0
fsh-generated/resources/ValueSet-jp-medication-form-merit9-vs.json	656	6	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	5	1183	0	0	0	1	0	0
fsh-generated/resources/DiagnosticReport-jp-diagnosticreport-radiology-example-1.json	1449	4	0	0	0	0	0	0	1	1281	0	0	0	0	0	0	0	0	0	0	7	15	0	0	0	0	0	1
